0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
7437 | phosphorus atom | atom | Competitive inhibition | Regulation 
7438 | ethyl alcohol | molecule | chitin | structural polysaccharide 
7438 | ethyl alcohol | molecule | chitin | polysaccharide 
7438 | ethyl alcohol | molecule | chitin | carbohydrate 
7438 | ethyl alcohol | molecule | chitin | polymer 
7439 | ethyl alcohol | organic molecule | chitin | structural polysaccharide 
7439 | ethyl alcohol | organic molecule | chitin | polysaccharide 
7440 | ethyl alcohol | alcohol | chitin | structural polysaccharide 
7441 | cisterna | cellular structure | endoplasmic reticulum | organelle 
7442 | margarine | lipid | ethyl alcohol | alcohol 
7442 | margarine | lipid | ethyl alcohol | organic molecule 
7442 | margarine | lipid | ethyl alcohol | molecule 
7443 | margarine | triglyceride | ethyl alcohol | alcohol 
7443 | margarine | triglyceride | ethyl alcohol | organic molecule 
7444 | margarine | fat molecule | ethyl alcohol | alcohol 
7445 | Eukaryotic pyruvate oxidation | Pyruvate oxidation | cisterna | cellular structure 
7446 | pyruvate | molecule | methionine | hydrophobic amino acid 
7446 | pyruvate | molecule | methionine | amino acid 
7447 | pyruvate | organic molecule | methionine | hydrophobic amino acid 
7448 | Signal transduction with IP3 | Signal transduction | plant cell | walled cell 
7448 | Signal transduction with IP3 | Signal transduction | plant cell | eukaryotic cell 
7449 | allosteric enzyme | protein | Signal transduction with Ca2 plus | Signal transduction with second messenger 
7449 | allosteric enzyme | protein | Signal transduction with Ca2 plus | Signal transduction 
7450 | allosteric enzyme | enzyme | Signal transduction with Ca2 plus | Signal transduction with second messenger 
7450 | allosteric enzyme | enzyme | Signal transduction with Ca2 plus | Signal transduction 
7451 | allosteric enzyme | protein enzyme | Signal transduction with Ca2 plus | Signal transduction with second messenger 
7452 | hydrophobic amino acid | amino acid | monomer | molecule 
7453 | polar side chain | R-group | radiation | energy 
7454 | fructose | hexose | salt | ionic compound 
7455 | nucleoside | organic molecule | Protein denaturation by heat | Protein denaturation 
7456 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | carbohydrate side chain | oligosaccharide 
7456 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | carbohydrate side chain | carbohydrate 
7456 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | carbohydrate side chain | organic molecule 
7456 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | carbohydrate side chain | molecule 
7457 | activation energy | energy | Signal transduction with Ca2 plus | Signal transduction with second messenger 
7458 | smooth endoplasmic reticulum | endoplasmic reticulum | Communication through cell cell recognition | Communication by direct contact 
7459 | nucleic acid | polymer | intracellular receptor | receptor protein 
7460 | nucleic acid | organic molecule | intracellular receptor | receptor protein 
7461 | ester linkage | polar covalent bond | hydrophobic compound | compound 
7462 | ester linkage | single bond | hydrophobic compound | compound 
7463 | Communication through cell cell recognition | Cell communication | glyoxysome | peroxisome 
7463 | Communication through cell cell recognition | Cell communication | glyoxysome | organelle 
7463 | Communication through cell cell recognition | Cell communication | glyoxysome | cellular structure 
7464 | Communication through cell cell recognition | Communication by direct contact | glyoxysome | peroxisome 
7465 | electromagnetic spectrum | spectrum | C3 plant | plant 
7466 | amyloplast | organelle | cytochrome | protein 
7466 | amyloplast | organelle | cytochrome | organic molecule 
7466 | amyloplast | organelle | cytochrome | polymer 
7467 | amyloplast | plastid | cytochrome | protein 
7468 | Photosynthesis | Metabolic pathway | cellulose | polar molecule 
7468 | Photosynthesis | Metabolic pathway | cellulose | structural polysaccharide 
7468 | Photosynthesis | Metabolic pathway | cellulose | molecule 
7468 | Photosynthesis | Metabolic pathway | cellulose | hydrophilic compound 
7468 | Photosynthesis | Metabolic pathway | cellulose | polysaccharide 
7469 | Photosynthesis | Endergonic reaction | cellulose | polar molecule 
7469 | Photosynthesis | Endergonic reaction | cellulose | structural polysaccharide 
7469 | Photosynthesis | Endergonic reaction | cellulose | molecule 
7469 | Photosynthesis | Endergonic reaction | cellulose | hydrophilic compound 
7469 | Photosynthesis | Endergonic reaction | cellulose | polysaccharide 
7470 | Photosynthesis | Anabolic pathway | cellulose | polar molecule 
7470 | Photosynthesis | Anabolic pathway | cellulose | structural polysaccharide 
7471 | PEP carboxylase | oxidoreductase | desmosome | intercellular junction 
7472 | threonine | polar amino acid | third electron-shell | electron-shell 
7473 | uracil | nitrogenous base | Cell communication with epinephrine in muscle cell | Cell communication with epinephrine 
7473 | uracil | nitrogenous base | Cell communication with epinephrine in muscle cell | Cell communication with endocrine hormone 
7474 | uracil | pyrimidine | Cell communication with epinephrine in muscle cell | Cell communication with epinephrine 
7475 | Dehydration reaction | Condensation reaction | strong base | base 
7476 | sodium ion | ion | lyase | protein enzyme 
7476 | sodium ion | ion | lyase | enzyme 
7476 | sodium ion | ion | lyase | protein 
7477 | sodium ion | cation | lyase | protein enzyme 
7478 | hexose | sugar | vitamin | organic molecule 
7478 | hexose | sugar | vitamin | molecule 
7479 | hexose | monosaccharide | vitamin | organic molecule 
7480 | flagellum | cellular structure | asparagine | polar amino acid 
7481 | entropy | energy | Cell signaling with G-protein coupled receptor | Cell signaling with plasma membrane receptor 
7482 | Control of glycolysis | Regulation | hydroxyl group | functional group 
7483 | wax | lipid | protein | organic molecule 
7483 | wax | lipid | protein | polymer 
7484 | multiprotein complex-II | protein complex | integrin | transmembrane protein 
7484 | multiprotein complex-II | protein complex | integrin | receptor protein 
7485 | amino group | functional group | Phase contrast microscopy | Microscopy 
7486 | Facilitated diffusion | Diffusion | membrane protein | protein 
7486 | Facilitated diffusion | Diffusion | membrane protein | organic molecule 
7486 | Facilitated diffusion | Diffusion | membrane protein | polymer 
7487 | Facilitated diffusion | Passive transport | membrane protein | protein 
7488 | beta sheet | secondary structure | Communication through cell cell recognition | Communication by direct contact 
7489 | organelle | cellular structure | cytochrome | protein 
7490 | green light | energy | disaccharide | sugar 
7490 | green light | energy | disaccharide | carbohydrate 
7490 | green light | energy | disaccharide | organic molecule 
7490 | green light | energy | disaccharide | molecule 
7491 | green light | radiation | disaccharide | sugar 
7491 | green light | radiation | disaccharide | carbohydrate 
7491 | green light | radiation | disaccharide | organic molecule 
7492 | green light | electromagnetic energy | disaccharide | sugar 
7492 | green light | electromagnetic energy | disaccharide | carbohydrate 
7493 | green light | light | disaccharide | sugar 
7494 | sodium atom | atom | valine | hydrophobic amino acid 
7494 | sodium atom | atom | valine | amino acid 
7495 | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with Ca2 plus and IP3 | coenzyme | cofactor 
7496 | thylakoid | cellular structure | deoxyribose | pentose 
7497 | carotenoid | accessory pigment | Control of glycolysis | Regulation 
7498 | starch | storage polysaccharide | water molecule | polar molecule 
7498 | starch | storage polysaccharide | water molecule | molecule 
7498 | starch | storage polysaccharide | water molecule | hydrophilic compound 
7499 | transition state intermediate | molecule | Cell communication with epinephrine in muscle cell | Cell communication with epinephrine 
7500 | transport membrane protein | amphipathic molecule | secondary lysosome | lysosome 
7500 | transport membrane protein | amphipathic molecule | secondary lysosome | organelle 
7500 | transport membrane protein | amphipathic molecule | secondary lysosome | cellular structure 
7501 | transport membrane protein | integral protein | secondary lysosome | lysosome 
7501 | transport membrane protein | integral protein | secondary lysosome | organelle 
7502 | transport membrane protein | transmembrane protein | secondary lysosome | lysosome 
7503 | Exocytosis | Endergonic process | leucine | hydrophobic amino acid 
7503 | Exocytosis | Endergonic process | leucine | amino acid 
7504 | Electron microscopy | Microscopy | Reverse reaction | Chemical reaction 
7505 | mitochondrial electron transport chain | electron transport chain | Cell signaling with G-protein coupled receptor | Cell signaling with plasma membrane receptor 
7506 | pyruvate | molecule | structural polysaccharide | polysaccharide 
7506 | pyruvate | molecule | structural polysaccharide | carbohydrate 
7506 | pyruvate | molecule | structural polysaccharide | polymer 
7507 | pyruvate | organic molecule | structural polysaccharide | polysaccharide 
7508 | isotope | atom | glycoprotein | protein 
7508 | isotope | atom | glycoprotein | amphipathic molecule 
7509 | nucleic acid | polymer | organic molecule | molecule 
7510 | nucleic acid | organic molecule | organic molecule | molecule 
7511 | lyase | protein enzyme | Oxidative phosphorylation | Metabolic pathway 
7512 | Cell signaling with nitric oxide | Cell signaling | uncoupling protein | channel protein 
7512 | Cell signaling with nitric oxide | Cell signaling | uncoupling protein | transport membrane protein 
7512 | Cell signaling with nitric oxide | Cell signaling | uncoupling protein | transmembrane protein 
7512 | Cell signaling with nitric oxide | Cell signaling | uncoupling protein | integral protein 
7513 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | uncoupling protein | channel protein 
7513 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | uncoupling protein | transport membrane protein 
7514 | strong acid | acid | motor protein | protein 
7515 | membrane protein | polymer | P680 | chlorophyll A 
7515 | membrane protein | polymer | P680 | chlorophyll 
7516 | membrane protein | organic molecule | P680 | chlorophyll A 
7516 | membrane protein | organic molecule | P680 | chlorophyll 
7517 | membrane protein | protein | P680 | chlorophyll A 
7518 | integrin | receptor protein | Pinocytosis | Endocytosis 
7519 | integrin | transmembrane protein | Pinocytosis | Endocytosis 
7520 | capsule | cellular structure | denatured protein | protein 
7521 | Cell communication with local regulator | Cell communication | Polymer breakdown | Catabolic pathway 
7521 | Cell communication with local regulator | Cell communication | Polymer breakdown | Exergonic reaction 
7521 | Cell communication with local regulator | Cell communication | Polymer breakdown | Metabolic pathway 
7522 | Active transport | Work | Facilitated diffusion | Passive transport 
7522 | Active transport | Work | Facilitated diffusion | Diffusion 
7522 | Active transport | Work | Facilitated diffusion | Spontaneous change 
7523 | Active transport | Endergonic process | Facilitated diffusion | Passive transport 
7524 | fatty acid | organic molecule | phosphate bond | single bond 
7524 | fatty acid | organic molecule | phosphate bond | covalent bond 
7524 | fatty acid | organic molecule | phosphate bond | chemical bond 
7525 | fatty acid | compound | phosphate bond | single bond 
7525 | fatty acid | compound | phosphate bond | covalent bond 
7526 | fatty acid | carboxylic acid | phosphate bond | single bond 
7527 | fatty acid | hydrophobic compound | phosphate bond | single bond 
7528 | glyceraldehyde-3-phosphate | aldehyde | threonine | polar amino acid 
7528 | glyceraldehyde-3-phosphate | aldehyde | threonine | hydrophilic amino acid 
7529 | glyceraldehyde-3-phosphate | organic molecule | threonine | polar amino acid 
7529 | glyceraldehyde-3-phosphate | organic molecule | threonine | hydrophilic amino acid 
7529 | glyceraldehyde-3-phosphate | organic molecule | threonine | amino acid 
7530 | glyceraldehyde-3-phosphate | sugar | threonine | polar amino acid 
7530 | glyceraldehyde-3-phosphate | sugar | threonine | hydrophilic amino acid 
7530 | glyceraldehyde-3-phosphate | sugar | threonine | amino acid 
7531 | glyceraldehyde-3-phosphate | monosaccharide | threonine | polar amino acid 
7531 | glyceraldehyde-3-phosphate | monosaccharide | threonine | hydrophilic amino acid 
7532 | glyceraldehyde-3-phosphate | triose | threonine | polar amino acid 
7533 | Anabolic pathway | Metabolic pathway | mitogen-activated protein kinase | protein kinase 
7534 | Anabolic pathway | Endergonic reaction | mitogen-activated protein kinase | protein kinase 
7535 | Lactic acid fermentation by bacteria | Lactic acid fermentation | Light microscopy | Microscopy 
7536 | buffered solution | aqueous solution | hypertonic solution | aqueous solution 
7537 | uracil | nitrogenous base | smooth endoplasmic reticulum | endoplasmic reticulum 
7537 | uracil | nitrogenous base | smooth endoplasmic reticulum | organelle 
7538 | uracil | pyrimidine | smooth endoplasmic reticulum | endoplasmic reticulum 
7539 | cytochrome A3 | cytochrome | Photorespiration | Metabolic pathway 
7540 | flagellum | cellular structure | Communication through cell cell recognition | Communication by direct contact 
7541 | isotope | atom | endoplasmic reticulum | organelle 
7542 | proton-motive force | potential energy | Reversible reaction | Chemical reaction 
7543 | amino acid | molecule | disaccharide | sugar 
7543 | amino acid | molecule | disaccharide | carbohydrate 
7544 | amino acid | organic molecule | disaccharide | sugar 
7545 | photon | electromagnetic energy | hydrophobic amino acid | amino acid 
7546 | amyloplast | cellular structure | MRNA | RNA 
7546 | amyloplast | cellular structure | MRNA | nucleic acid 
7546 | amyloplast | cellular structure | MRNA | organic molecule 
7546 | amyloplast | cellular structure | MRNA | polymer 
7547 | amyloplast | organelle | MRNA | RNA 
7547 | amyloplast | organelle | MRNA | nucleic acid 
7548 | amyloplast | plastid | MRNA | RNA 
7549 | neutral solution | aqueous solution | acidic solution | aqueous solution 
7550 | aqueous salt solution | aqueous solution | chromosome | cellular structure 
7551 | microtubule | cellular structure | ultraviolet ray | light 
7552 | chromosome | cellular structure | pore complex | protein complex 
7553 | microvillus | cellular structure | neutral solution | aqueous solution 
7554 | visible light | light | Protein denaturation by heat | Protein denaturation 
7555 | Protein kinase cascade | Chemical reaction | globular protein | water soluble protein 
7555 | Protein kinase cascade | Chemical reaction | globular protein | protein 
7555 | Protein kinase cascade | Chemical reaction | globular protein | organic molecule 
7555 | Protein kinase cascade | Chemical reaction | globular protein | polymer 
7556 | Protein kinase cascade | Cascade | globular protein | water soluble protein 
7557 | ribosome | cellular structure | deoxyribose | pentose 
7558 | neutral solution | mixture | aquaporin | channel protein 
7558 | neutral solution | mixture | aquaporin | transport membrane protein 
7558 | neutral solution | mixture | aquaporin | transmembrane protein 
7558 | neutral solution | mixture | aquaporin | integral protein 
7559 | neutral solution | solution | aquaporin | channel protein 
7559 | neutral solution | solution | aquaporin | transport membrane protein 
7560 | neutral solution | aqueous solution | aquaporin | channel protein 
7561 | hydrophilic amino acid | amino acid | microtubule | cellular structure 
7562 | plasmodesmata | intercellular junction | methionine | hydrophobic amino acid 
7563 | central vacuole | vacuole | Inhibition | Regulation 
7564 | pore complex | protein complex | ester linkage | single bond 
7564 | pore complex | protein complex | ester linkage | polar covalent bond 
7565 | glutamic acid | acidic amino acid | Anabolism | Endergonic process 
7565 | glutamic acid | acidic amino acid | Anabolism | Metabolism 
7566 | enzyme | organic molecule | vesicle | cellular structure 
7567 | photosystem II | photosystem | connexon | channel protein 
7568 | Polymer breakdown | Catabolic pathway | third electron-shell | electron-shell 
7569 | sodium-potassium pump | carrier protein | radiation | energy 
7570 | Transmission electron microscopy | Electron microscopy | eukaryote | organism 
7571 | sodium chloride | salt | Signal transduction with testosterone | Signal transduction 
7572 | sugar | organic molecule | centrosome | microtubule organizing center 
7572 | sugar | organic molecule | centrosome | cellular structure 
7573 | sugar | carbohydrate | centrosome | microtubule organizing center 
7574 | carbon dioxide | hydrophobic compound | proteoglycan | glycoprotein 
7574 | carbon dioxide | hydrophobic compound | proteoglycan | protein 
7574 | carbon dioxide | hydrophobic compound | proteoglycan | amphipathic molecule 
7575 | carbon dioxide | molecule | proteoglycan | glycoprotein 
7575 | carbon dioxide | molecule | proteoglycan | protein 
7575 | carbon dioxide | molecule | proteoglycan | amphipathic molecule 
7576 | carbon dioxide | compound | proteoglycan | glycoprotein 
7576 | carbon dioxide | compound | proteoglycan | protein 
7576 | carbon dioxide | compound | proteoglycan | amphipathic molecule 
7577 | carbon dioxide | nonpolar molecule | proteoglycan | glycoprotein 
7578 | disulfide bond | chemical bond | Alcohol fermentation | Fermentation 
7578 | disulfide bond | chemical bond | Alcohol fermentation | Anaerobic metabolism 
7578 | disulfide bond | chemical bond | Alcohol fermentation | Catabolic pathway 
7578 | disulfide bond | chemical bond | Alcohol fermentation | Metabolism 
7578 | disulfide bond | chemical bond | Alcohol fermentation | Exergonic reaction 
7578 | disulfide bond | chemical bond | Alcohol fermentation | Metabolic pathway 
7579 | disulfide bond | covalent bond | Alcohol fermentation | Fermentation 
7579 | disulfide bond | covalent bond | Alcohol fermentation | Anaerobic metabolism 
7579 | disulfide bond | covalent bond | Alcohol fermentation | Catabolic pathway 
7580 | disulfide bond | nonpolar covalent bond | Alcohol fermentation | Fermentation 
7581 | disulfide bond | single bond | Alcohol fermentation | Fermentation 
7582 | wax | organic molecule | aldehyde | organic molecule 
7582 | wax | organic molecule | aldehyde | molecule 
7583 | wax | lipid | aldehyde | organic molecule 
7584 | ribosome | cellular structure | smooth endoplasmic reticulum | endoplasmic reticulum 
7585 | lactate | anion | valine | hydrophobic amino acid 
7585 | lactate | anion | valine | amino acid 
7586 | lactate | complex ion | valine | hydrophobic amino acid 
7586 | lactate | complex ion | valine | amino acid 
7587 | Cell communication with epinephrine in muscle cell | Cell communication with epinephrine | Phase contrast microscopy | Microscopy 
7588 | purine | nitrogenous base | RNA | nucleic acid 
7589 | Anaerobic metabolism | Metabolism | glycoprotein | protein 
7589 | Anaerobic metabolism | Metabolism | glycoprotein | amphipathic molecule 
7590 | electromagnetic spectrum | spectrum | structural polysaccharide | polysaccharide 
7591 | activation energy | energy | RNA | nucleic acid 
7592 | nucleoside | organic molecule | vesicle | cellular structure 
7593 | algae | organism | symporter | transport membrane protein 
7593 | algae | organism | symporter | transmembrane protein 
7593 | algae | organism | symporter | integral protein 
7594 | algae | eukaryote | symporter | transport membrane protein 
7594 | algae | eukaryote | symporter | transmembrane protein 
7595 | Active transport using ATP | Endergonic process | hydrocarbon molecule | organic molecule 
7595 | Active transport using ATP | Endergonic process | hydrocarbon molecule | molecule 
7596 | Active transport using ATP | Active transport | hydrocarbon molecule | organic molecule 
7597 | polar covalent bond | chemical bond | leucine | hydrophobic amino acid 
7597 | polar covalent bond | chemical bond | leucine | amino acid 
7598 | polar covalent bond | covalent bond | leucine | hydrophobic amino acid 
7599 | disaccharide | carbohydrate | protein enzyme | enzyme 
7599 | disaccharide | carbohydrate | protein enzyme | protein 
7599 | disaccharide | carbohydrate | protein enzyme | organic molecule 
7599 | disaccharide | carbohydrate | protein enzyme | polymer 
7600 | disaccharide | sugar | protein enzyme | enzyme 
7600 | disaccharide | sugar | protein enzyme | protein 
7601 | manganese atom | atom | plastocyanin | protein 
7601 | manganese atom | atom | plastocyanin | organic molecule 
7601 | manganese atom | atom | plastocyanin | polymer 
7602 | hemoglobin | globular protein | desmosome | intercellular junction 
7603 | water molecule | polar molecule | cisterna | cellular structure 
7604 | tight junction | intercellular junction | mitogen-activated protein kinase | protein kinase 
7605 | mitochondrial electron transport chain | electron transport chain | purine | nitrogenous base 
7606 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | eukaryotic cilium | cilium 
7606 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | eukaryotic cilium | cellular structure 
7607 | early prokaryote | prokaryote | RNA | nucleic acid 
7608 | channel protein | protein | sucrose | disaccharide 
7608 | channel protein | protein | sucrose | sugar 
7608 | channel protein | protein | sucrose | carbohydrate 
7608 | channel protein | protein | sucrose | organic molecule 
7608 | channel protein | protein | sucrose | molecule 
7609 | channel protein | molecule | sucrose | disaccharide 
7609 | channel protein | molecule | sucrose | sugar 
7609 | channel protein | molecule | sucrose | carbohydrate 
7609 | channel protein | molecule | sucrose | organic molecule 
7609 | channel protein | molecule | sucrose | molecule 
7610 | channel protein | amphipathic molecule | sucrose | disaccharide 
7610 | channel protein | amphipathic molecule | sucrose | sugar 
7610 | channel protein | amphipathic molecule | sucrose | carbohydrate 
7610 | channel protein | amphipathic molecule | sucrose | organic molecule 
7611 | channel protein | integral protein | sucrose | disaccharide 
7611 | channel protein | integral protein | sucrose | sugar 
7611 | channel protein | integral protein | sucrose | carbohydrate 
7612 | channel protein | transmembrane protein | sucrose | disaccharide 
7612 | channel protein | transmembrane protein | sucrose | sugar 
7613 | channel protein | transport membrane protein | sucrose | disaccharide 
7614 | organic molecule | molecule | nicotinamide | nitrogenous base 
7615 | acetaldehyde | aldehyde | Cell signaling with ion channel receptor | Cell signaling with plasma membrane receptor 
7616 | carbonyl group | functional group | cytochrome complex | protein complex 
7617 | Signal transduction with IP3 | Signal transduction | cation | ion 
7618 | polysaccharide | polymer | amylose | starch 
7619 | polysaccharide | carbohydrate | amylose | starch 
7620 | pentose | organic molecule | disaccharide | sugar 
7620 | pentose | organic molecule | disaccharide | carbohydrate 
7620 | pentose | organic molecule | disaccharide | organic molecule 
7620 | pentose | organic molecule | disaccharide | molecule 
7621 | pentose | carbohydrate | disaccharide | sugar 
7621 | pentose | carbohydrate | disaccharide | carbohydrate 
7621 | pentose | carbohydrate | disaccharide | organic molecule 
7622 | pentose | sugar | disaccharide | sugar 
7622 | pentose | sugar | disaccharide | carbohydrate 
7623 | pentose | monosaccharide | disaccharide | sugar 
7624 | isotope | atom | nonpolar covalent bond | covalent bond 
7625 | pyruvic acid | organic molecule | transferase | protein enzyme 
7625 | pyruvic acid | organic molecule | transferase | enzyme 
7625 | pyruvic acid | organic molecule | transferase | protein 
7625 | pyruvic acid | organic molecule | transferase | organic molecule 
7625 | pyruvic acid | organic molecule | transferase | polymer 
7626 | pyruvic acid | carboxylic acid | transferase | protein enzyme 
7627 | Citric acid cycle | Metabolic pathway | prokaryotic flagellum | flagellum 
7627 | Citric acid cycle | Metabolic pathway | prokaryotic flagellum | cellular structure 
7628 | Citric acid cycle | Exergonic reaction | prokaryotic flagellum | flagellum 
7628 | Citric acid cycle | Exergonic reaction | prokaryotic flagellum | cellular structure 
7629 | Citric acid cycle | Catabolic pathway | prokaryotic flagellum | flagellum 
7630 | gap junction | intercellular junction | coenzyme A | organic molecule 
7631 | polar side chain | R-group | Passive transport | Diffusion 
7632 | peptide linkage | polar covalent bond | chromosome | cellular structure 
7633 | integrin | protein | glycine | hydrophobic amino acid 
7633 | integrin | protein | glycine | amino acid 
7634 | integrin | integral protein | glycine | hydrophobic amino acid 
7634 | integrin | integral protein | glycine | amino acid 
7635 | integrin | receptor protein | glycine | hydrophobic amino acid 
7636 | integrin | transmembrane protein | glycine | hydrophobic amino acid 
7637 | nucleoside | organic molecule | organic molecule | molecule 
7638 | nucleotide | organic molecule | sulfhydryl group | functional group 
7639 | Substrate level phosphorylation | Synthesis of ATP | cisterna | cellular structure 
7640 | Alcohol fermentation by yeast | Fermentation | guanine | purine 
7640 | Alcohol fermentation by yeast | Fermentation | guanine | nitrogenous base 
7641 | Alcohol fermentation by yeast | Alcohol fermentation | guanine | purine 
7642 | multiprotein complex IV | protein complex | Electron microscopy | Microscopy 
7643 | NADH | molecule | glutamine | polar amino acid 
7643 | NADH | molecule | glutamine | hydrophilic amino acid 
7643 | NADH | molecule | glutamine | amino acid 
7644 | NADH | organic molecule | glutamine | polar amino acid 
7644 | NADH | organic molecule | glutamine | hydrophilic amino acid 
7645 | Conversion of lactate to pyruvate by liver cell | Chemical reaction | asparagine | polar amino acid 
7645 | Conversion of lactate to pyruvate by liver cell | Chemical reaction | asparagine | hydrophilic amino acid 
7646 | Conversion of lactate to pyruvate by liver cell | Redox reaction | asparagine | polar amino acid 
7647 | glycoprotein | amphipathic molecule | crista | cellular structure 
7648 | glycoprotein | protein | crista | cellular structure 
7649 | carotenoid | accessory pigment | Protein denaturation by denaturation agent | Protein denaturation 
7650 | proton pump | transport membrane protein | cholesterol | amphipathic molecule 
7650 | proton pump | transport membrane protein | cholesterol | steroid 
7650 | proton pump | transport membrane protein | cholesterol | molecule 
7650 | proton pump | transport membrane protein | cholesterol | lipid 
7651 | proton pump | carrier protein | cholesterol | amphipathic molecule 
7651 | proton pump | carrier protein | cholesterol | steroid 
7652 | hydrophobic interaction | chemical bond | isoleucine | hydrophobic amino acid 
7652 | hydrophobic interaction | chemical bond | isoleucine | amino acid 
7653 | carrier protein | transport membrane protein | fatty acid | hydrophobic compound 
7653 | carrier protein | transport membrane protein | fatty acid | carboxylic acid 
7654 | PEP carboxylase | protein enzyme | plant cell-wall | cell wall 
7654 | PEP carboxylase | protein enzyme | plant cell-wall | cellular structure 
7655 | PEP carboxylase | oxidoreductase | plant cell-wall | cell wall 
7656 | Light microscopy | Microscopy | proteoglycan | glycoprotein 
7657 | Cell communication with local regulator | Cell communication | unsaturated fat | fat molecule 
7657 | Cell communication with local regulator | Cell communication | unsaturated fat | triglyceride 
7658 | infrared ray | light | pyrimidine | nitrogenous base 
7659 | granum | cellular structure | radiation | energy 
7660 | cisterna | cellular structure | asparagine | polar amino acid 
7661 | plastocyanin | molecule | peptide linkage | polar covalent bond 
7661 | plastocyanin | molecule | peptide linkage | covalent bond 
7661 | plastocyanin | molecule | peptide linkage | chemical bond 
7662 | plastocyanin | polymer | peptide linkage | polar covalent bond 
7662 | plastocyanin | polymer | peptide linkage | covalent bond 
7663 | plastocyanin | organic molecule | peptide linkage | polar covalent bond 
7663 | plastocyanin | organic molecule | peptide linkage | covalent bond 
7664 | plastocyanin | protein | peptide linkage | polar covalent bond 
7665 | chlorophyll | hydrocarbon molecule | chromoplast | plastid 
7665 | chlorophyll | hydrocarbon molecule | chromoplast | organelle 
7665 | chlorophyll | hydrocarbon molecule | chromoplast | cellular structure 
7666 | chlorophyll | organic molecule | chromoplast | plastid 
7666 | chlorophyll | organic molecule | chromoplast | organelle 
7666 | chlorophyll | organic molecule | chromoplast | cellular structure 
7667 | chlorophyll | pigment | chromoplast | plastid 
7667 | chlorophyll | pigment | chromoplast | organelle 
7668 | chlorophyll | photosynthetic pigment | chromoplast | plastid 
7669 | photoautotroph | autotroph | integrin | transmembrane protein 
7669 | photoautotroph | autotroph | integrin | receptor protein 
7670 | plant cell-wall | cellular structure | proteoglycan | glycoprotein 
7670 | plant cell-wall | cellular structure | proteoglycan | protein 
7670 | plant cell-wall | cellular structure | proteoglycan | amphipathic molecule 
7671 | plant cell-wall | cell wall | proteoglycan | glycoprotein 
7672 | glycosidic linkage | polar covalent bond | amylose | starch 
7673 | triglyceride | lipid | Communication through cell cell recognition | Communication by direct contact 
7674 | Photorespiration | Chemical reaction | actin | globular protein 
7674 | Photorespiration | Chemical reaction | actin | water soluble protein 
7674 | Photorespiration | Chemical reaction | actin | protein 
7675 | Photorespiration | Metabolic pathway | actin | globular protein 
7676 | transition state intermediate | molecule | water molecule | polar molecule 
7677 | cytoplasmic protein kinase | protein kinase | intracellular receptor | receptor protein 
7678 | sodium ion | ion | hydrocarbon molecule | organic molecule 
7678 | sodium ion | ion | hydrocarbon molecule | molecule 
7679 | sodium ion | cation | hydrocarbon molecule | organic molecule 
7680 | cis trans isomer | molecule | sodium chloride | salt 
7680 | cis trans isomer | molecule | sodium chloride | ionic compound 
7681 | cis trans isomer | isomer | sodium chloride | salt 
7682 | Citric acid cycle | Catabolic pathway | lactic acid | carboxylic acid 
7683 | mitochondrial electron transport chain | electron transport chain | electromagnetic energy | radiation 
7684 | unsaturated fatty acid | fatty acid | nucleolus | cellular structure 
7685 | lyase | protein enzyme | substrate | reactant 
7686 | electromagnetic spectrum | spectrum | Synthesis of glucose from pyruvate | Gluconeogenesis 
7687 | Cell signaling with Ca2 plus | Cell signaling | proteoglycan | glycoprotein 
7687 | Cell signaling with Ca2 plus | Cell signaling | proteoglycan | protein 
7687 | Cell signaling with Ca2 plus | Cell signaling | proteoglycan | amphipathic molecule 
7688 | cilium | cellular structure | Irreversible non competitive inhibition | Non competitive inhibition 
7689 | sodium-potassium pump | transport membrane protein | nucleotide | organic molecule 
7689 | sodium-potassium pump | transport membrane protein | nucleotide | molecule 
7690 | sodium-potassium pump | carrier protein | nucleotide | organic molecule 
7691 | ion-channel | channel protein | DNA double helix | cellular structure 
7692 | cellulose | polysaccharide | transport membrane protein | transmembrane protein 
7692 | cellulose | polysaccharide | transport membrane protein | integral protein 
7693 | cellulose | hydrophilic compound | transport membrane protein | transmembrane protein 
7693 | cellulose | hydrophilic compound | transport membrane protein | integral protein 
7694 | cellulose | molecule | transport membrane protein | transmembrane protein 
7694 | cellulose | molecule | transport membrane protein | integral protein 
7695 | cellulose | structural polysaccharide | transport membrane protein | transmembrane protein 
7696 | cellulose | polar molecule | transport membrane protein | transmembrane protein 
7697 | Light reaction | Metabolic pathway | Substrate level phosphorylation | Synthesis of ATP 
7698 | alcohol | organic molecule | Control of glycolysis | Regulation 
7699 | Reversible reaction | Chemical reaction | nicotinamide | nitrogenous base 
7700 | glycolipid | molecule | single bond | covalent bond 
