3 | extra cellular matrix | motor protein | nuclear-envelope | carbon skeleton 
2420 | mitochondrial matrix | ribosome | amyloplast | starch 
2421 | nuclear-envelope | carbon skeleton | second electron-shell | first electron-shell 
2433 | second electron-shell | first electron-shell | cisternal space | aqueous solution 
2449 | sulfhydryl group | sulfur atom | chloroplast | stroma 
2450 | sulfhydryl group | hydrogen atom | chloroplast | stroma 
2453 | stroma | ribosome | membrane | carbon skeleton 
2454 | stroma | protein enzyme | membrane | carbon skeleton 
2455 | stroma | protein enzyme | membrane | carbon skeleton 
2456 | stroma | MRNA | membrane | carbon skeleton 
2457 | leaf | oxygen molecule | thylakoid space | aqueous solution 
2457 | leaf | oxygen molecule | thylakoid space | aqueous solution 
2458 | sulfhydryl group | sulfur atom | secondary structure | primary structure 
2458 | sulfhydryl group | sulfur atom | secondary structure | hydrogen-bond 
2459 | sulfhydryl group | hydrogen atom | secondary structure | primary structure 
2459 | sulfhydryl group | hydrogen atom | secondary structure | hydrogen-bond 
2461 | methyl group | hydrogen atom | thylakoid space | aqueous solution 
2461 | methyl group | hydrogen atom | thylakoid space | aqueous solution 
2465 | atomic nucleus | proton | second electron-shell | first electron-shell 
2467 | cisternal space | aqueous solution | secondary structure | primary structure 
2467 | cisternal space | aqueous solution | secondary structure | hydrogen-bond 
2472 | mitochondrial membrane | carbon skeleton | amyloplast | starch 
2491 | atomic nucleus | proton | first electron-shell | atomic nucleus 
2493 | peroxisome | protein enzyme | second electron-shell | first electron-shell 
2494 | peroxisome | protein enzyme | second electron-shell | first electron-shell 
2501 | carbonyl group | oxygen atom | amyloplast | starch 
2508 | hydroxyl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
2508 | hydroxyl group | hydrogen atom | tertiary protein structure | van der waals interaction 
2508 | hydroxyl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
2508 | hydroxyl group | hydrogen atom | tertiary protein structure | secondary structure 
2509 | hydroxyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
2509 | hydroxyl group | oxygen atom | tertiary protein structure | van der waals interaction 
2509 | hydroxyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
2509 | hydroxyl group | oxygen atom | tertiary protein structure | secondary structure 
2512 | carboxyl group | hydrogen atom | cisternal space | aqueous solution 
2513 | carboxyl group | oxygen atom | cisternal space | aqueous solution 
2514 | carboxyl group | oxygen atom | cisternal space | aqueous solution 
2521 | orbital | electron | nuclear-envelope | carbon skeleton 
2522 | amyloplast | starch | nuclear-envelope | carbon skeleton 
2524 | chloroplast | stroma | second electron-shell | first electron-shell 
2525 | mitochondrial membrane | carbon skeleton | chloroplast | stroma 
2529 | nucleus | nucleolus | membrane | carbon skeleton 
2530 | secondary structure | primary structure | tertiary protein structure | hydrogen-bond 
2530 | secondary structure | primary structure | tertiary protein structure | van der waals interaction 
2530 | secondary structure | primary structure | tertiary protein structure | hydrophobic interaction 
2530 | secondary structure | primary structure | tertiary protein structure | secondary structure 
2531 | secondary structure | hydrogen-bond | tertiary protein structure | hydrogen-bond 
2531 | secondary structure | hydrogen-bond | tertiary protein structure | van der waals interaction 
2531 | secondary structure | hydrogen-bond | tertiary protein structure | hydrophobic interaction 
2531 | secondary structure | hydrogen-bond | tertiary protein structure | secondary structure 
2535 | mitochondrial membrane | carbon skeleton | tertiary protein structure | hydrogen-bond 
2535 | mitochondrial membrane | carbon skeleton | tertiary protein structure | van der waals interaction 
2535 | mitochondrial membrane | carbon skeleton | tertiary protein structure | hydrophobic interaction 
2535 | mitochondrial membrane | carbon skeleton | tertiary protein structure | secondary structure 
2537 | glyoxysome | protein enzyme | secondary structure | primary structure 
2537 | glyoxysome | protein enzyme | secondary structure | hydrogen-bond 
2538 | glyoxysome | protein enzyme | secondary structure | primary structure 
2538 | glyoxysome | protein enzyme | secondary structure | hydrogen-bond 
2543 | tertiary protein structure | hydrogen-bond | capsule | cell wall 
2544 | tertiary protein structure | van der waals interaction | capsule | cell wall 
2545 | tertiary protein structure | hydrophobic interaction | capsule | cell wall 
2546 | tertiary protein structure | secondary structure | capsule | cell wall 
2549 | mitochondrial membrane | carbon skeleton | thylakoid space | aqueous solution 
2549 | mitochondrial membrane | carbon skeleton | thylakoid space | aqueous solution 
2558 | amino group | nitrogen atom | capsule | cell wall 
2559 | amino group | hydrogen atom | capsule | cell wall 
2560 | chloroplast | stroma | capsule | cell wall 
2561 | phosphate group | oxygen atom | amyloplast | starch 
2562 | phosphate group | phosphorus atom | amyloplast | starch 
2563 | phosphate group | oxygen atom | amyloplast | starch 
2571 | amino group | nitrogen atom | amyloplast | starch 
2572 | amino group | hydrogen atom | amyloplast | starch 
2579 | mitochondrial matrix | aqueous solution | capsule | cell wall 
2580 | mitochondrial matrix | protein enzyme | capsule | cell wall 
2581 | mitochondrial matrix | ribosome | capsule | cell wall 
2582 | nucleus | nucleolus | capsule | cell wall 
2583 | carbonyl group | oxygen atom | first electron-shell | atomic nucleus 
2593 | atomic nucleus | proton | amyloplast | starch 
2594 | nuclear-envelope | carbon skeleton | cisternal space | aqueous solution 
2595 | stroma | ribosome | nuclear-envelope | carbon skeleton 
2596 | stroma | protein enzyme | nuclear-envelope | carbon skeleton 
2597 | stroma | protein enzyme | nuclear-envelope | carbon skeleton 
2598 | stroma | MRNA | nuclear-envelope | carbon skeleton 
2600 | methyl group | hydrogen atom | amyloplast | starch 
2601 | amyloplast | starch | first electron-shell | atomic nucleus 
2602 | amyloplast | starch | membrane | carbon skeleton 
2607 | mitochondrial membrane | carbon skeleton | second electron-shell | first electron-shell 
2608 | nucleus | nucleolus | amyloplast | starch 
2618 | methyl group | hydrogen atom | cisternal space | aqueous solution 
2623 | nuclear-envelope | carbon skeleton | membrane | carbon skeleton 
2631 | peroxisome | protein enzyme | tertiary protein structure | hydrogen-bond 
2631 | peroxisome | protein enzyme | tertiary protein structure | van der waals interaction 
2631 | peroxisome | protein enzyme | tertiary protein structure | hydrophobic interaction 
2631 | peroxisome | protein enzyme | tertiary protein structure | secondary structure 
2632 | peroxisome | protein enzyme | tertiary protein structure | hydrogen-bond 
2632 | peroxisome | protein enzyme | tertiary protein structure | van der waals interaction 
2632 | peroxisome | protein enzyme | tertiary protein structure | hydrophobic interaction 
2632 | peroxisome | protein enzyme | tertiary protein structure | secondary structure 
2652 | tertiary protein structure | hydrogen-bond | second electron-shell | first electron-shell 
2653 | tertiary protein structure | van der waals interaction | second electron-shell | first electron-shell 
2654 | tertiary protein structure | hydrophobic interaction | second electron-shell | first electron-shell 
2655 | tertiary protein structure | secondary structure | second electron-shell | first electron-shell 
2659 | mitochondrial matrix | aqueous solution | capsule | cell wall 
2660 | mitochondrial matrix | protein enzyme | capsule | cell wall 
2661 | mitochondrial matrix | ribosome | capsule | cell wall 
2662 | cisternal space | aqueous solution | first electron-shell | atomic nucleus 
2668 | membrane | carbon skeleton | tertiary protein structure | hydrogen-bond 
2668 | membrane | carbon skeleton | tertiary protein structure | van der waals interaction 
2668 | membrane | carbon skeleton | tertiary protein structure | hydrophobic interaction 
2668 | membrane | carbon skeleton | tertiary protein structure | secondary structure 
2671 | carboxyl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
2671 | carboxyl group | hydrogen atom | tertiary protein structure | van der waals interaction 
2671 | carboxyl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
2671 | carboxyl group | hydrogen atom | tertiary protein structure | secondary structure 
2672 | carboxyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
2672 | carboxyl group | oxygen atom | tertiary protein structure | van der waals interaction 
2672 | carboxyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
2672 | carboxyl group | oxygen atom | tertiary protein structure | secondary structure 
2673 | carboxyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
2673 | carboxyl group | oxygen atom | tertiary protein structure | van der waals interaction 
2673 | carboxyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
2673 | carboxyl group | oxygen atom | tertiary protein structure | secondary structure 
2687 | thylakoid space | aqueous solution | nuclear-envelope | carbon skeleton 
2688 | thylakoid space | aqueous solution | nuclear-envelope | carbon skeleton 
2694 | mitochondrial membrane | carbon skeleton | first electron-shell | atomic nucleus 
2696 | mitochondrial matrix | aqueous solution | secondary structure | primary structure 
2696 | mitochondrial matrix | aqueous solution | secondary structure | hydrogen-bond 
2697 | mitochondrial matrix | protein enzyme | secondary structure | primary structure 
2697 | mitochondrial matrix | protein enzyme | secondary structure | hydrogen-bond 
2698 | mitochondrial matrix | ribosome | secondary structure | primary structure 
2698 | mitochondrial matrix | ribosome | secondary structure | hydrogen-bond 
2706 | cisternal space | aqueous solution | tertiary protein structure | hydrogen-bond 
2706 | cisternal space | aqueous solution | tertiary protein structure | van der waals interaction 
2706 | cisternal space | aqueous solution | tertiary protein structure | hydrophobic interaction 
2706 | cisternal space | aqueous solution | tertiary protein structure | secondary structure 
2710 | chloroplast | stroma | membrane | carbon skeleton 
2711 | atomic nucleus | proton | thylakoid space | aqueous solution 
2711 | atomic nucleus | proton | thylakoid space | aqueous solution 
2712 | orbital | electron | cisternal space | aqueous solution 
2717 | tertiary protein structure | hydrogen-bond | cisternal space | aqueous solution 
2718 | tertiary protein structure | van der waals interaction | cisternal space | aqueous solution 
2719 | tertiary protein structure | hydrophobic interaction | cisternal space | aqueous solution 
2720 | tertiary protein structure | secondary structure | cisternal space | aqueous solution 
2721 | capsule | cell wall | cisternal space | aqueous solution 
2722 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
2723 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
2738 | membrane | carbon skeleton | thylakoid space | aqueous solution 
2738 | membrane | carbon skeleton | thylakoid space | aqueous solution 
2739 | leaf | oxygen molecule | amyloplast | starch 
2743 | stroma | ribosome | thylakoid space | aqueous solution 
2743 | stroma | ribosome | thylakoid space | aqueous solution 
2744 | stroma | protein enzyme | thylakoid space | aqueous solution 
2744 | stroma | protein enzyme | thylakoid space | aqueous solution 
2745 | stroma | protein enzyme | thylakoid space | aqueous solution 
2745 | stroma | protein enzyme | thylakoid space | aqueous solution 
2746 | stroma | MRNA | thylakoid space | aqueous solution 
2746 | stroma | MRNA | thylakoid space | aqueous solution 
2752 | orbital | electron | cisternal space | aqueous solution 
2754 | ER membrane | carbon skeleton | amyloplast | starch 
2755 | ER membrane | cisternal space | amyloplast | starch 
2765 | nuclear-envelope | carbon skeleton | nuclear-envelope | carbon skeleton 
2772 | phosphate group | oxygen atom | capsule | cell wall 
2773 | phosphate group | phosphorus atom | capsule | cell wall 
2774 | phosphate group | oxygen atom | capsule | cell wall 
2776 | extra cellular matrix | motor protein | capsule | cell wall 
2777 | extra cellular matrix | aqueous solution | capsule | cell wall 
2795 | chloroplast | stroma | secondary structure | primary structure 
2795 | chloroplast | stroma | secondary structure | hydrogen-bond 
2799 | amino group | nitrogen atom | chloroplast | stroma 
2800 | amino group | hydrogen atom | chloroplast | stroma 
2821 | glyoxysome | protein enzyme | tertiary protein structure | hydrogen-bond 
2821 | glyoxysome | protein enzyme | tertiary protein structure | van der waals interaction 
2821 | glyoxysome | protein enzyme | tertiary protein structure | hydrophobic interaction 
2821 | glyoxysome | protein enzyme | tertiary protein structure | secondary structure 
2822 | glyoxysome | protein enzyme | tertiary protein structure | hydrogen-bond 
2822 | glyoxysome | protein enzyme | tertiary protein structure | van der waals interaction 
2822 | glyoxysome | protein enzyme | tertiary protein structure | hydrophobic interaction 
2822 | glyoxysome | protein enzyme | tertiary protein structure | secondary structure 
2823 | leaf | oxygen molecule | secondary structure | primary structure 
2823 | leaf | oxygen molecule | secondary structure | hydrogen-bond 
2831 | first electron-shell | atomic nucleus | chloroplast | stroma 
2844 | secondary structure | primary structure | secondary structure | primary structure 
2844 | secondary structure | primary structure | secondary structure | hydrogen-bond 
2845 | secondary structure | hydrogen-bond | secondary structure | primary structure 
2845 | secondary structure | hydrogen-bond | secondary structure | hydrogen-bond 
2846 | mitochondrial membrane | carbon skeleton | thylakoid space | aqueous solution 
2846 | mitochondrial membrane | carbon skeleton | thylakoid space | aqueous solution 
2851 | methyl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
2851 | methyl group | hydrogen atom | tertiary protein structure | van der waals interaction 
2851 | methyl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
2851 | methyl group | hydrogen atom | tertiary protein structure | secondary structure 
2857 | atomic nucleus | proton | membrane | carbon skeleton 
2858 | stroma | ribosome | chloroplast | stroma 
2859 | stroma | protein enzyme | chloroplast | stroma 
2860 | stroma | protein enzyme | chloroplast | stroma 
2861 | stroma | MRNA | chloroplast | stroma 
2862 | atomic nucleus | proton | amyloplast | starch 
2865 | peroxisome | protein enzyme | nuclear-envelope | carbon skeleton 
2866 | peroxisome | protein enzyme | nuclear-envelope | carbon skeleton 
2871 | cisternal space | aqueous solution | secondary structure | primary structure 
2871 | cisternal space | aqueous solution | secondary structure | hydrogen-bond 
2873 | carbonyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
2873 | carbonyl group | oxygen atom | tertiary protein structure | van der waals interaction 
2873 | carbonyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
2873 | carbonyl group | oxygen atom | tertiary protein structure | secondary structure 
2874 | first electron-shell | atomic nucleus | second electron-shell | first electron-shell 
2880 | orbital | electron | first electron-shell | atomic nucleus 
2894 | mitochondrial matrix | aqueous solution | amyloplast | starch 
2895 | mitochondrial matrix | protein enzyme | amyloplast | starch 
2896 | mitochondrial matrix | ribosome | amyloplast | starch 
2899 | methyl group | hydrogen atom | membrane | carbon skeleton 
2902 | chloroplast | stroma | first electron-shell | atomic nucleus 
2904 | atomic nucleus | proton | thylakoid space | aqueous solution 
2904 | atomic nucleus | proton | thylakoid space | aqueous solution 
2912 | carbonyl group | oxygen atom | capsule | cell wall 
2917 | sulfhydryl group | sulfur atom | chloroplast | stroma 
2918 | sulfhydryl group | hydrogen atom | chloroplast | stroma 
2919 | carbonyl group | oxygen atom | secondary structure | primary structure 
2919 | carbonyl group | oxygen atom | secondary structure | hydrogen-bond 
2920 | tertiary protein structure | hydrogen-bond | nuclear-envelope | carbon skeleton 
2921 | tertiary protein structure | van der waals interaction | nuclear-envelope | carbon skeleton 
2922 | tertiary protein structure | hydrophobic interaction | nuclear-envelope | carbon skeleton 
2923 | tertiary protein structure | secondary structure | nuclear-envelope | carbon skeleton 
2925 | tertiary protein structure | hydrogen-bond | capsule | cell wall 
2926 | tertiary protein structure | van der waals interaction | capsule | cell wall 
2927 | tertiary protein structure | hydrophobic interaction | capsule | cell wall 
2928 | tertiary protein structure | secondary structure | capsule | cell wall 
2929 | second electron-shell | first electron-shell | capsule | cell wall 
2931 | ER membrane | carbon skeleton | chloroplast | stroma 
2932 | ER membrane | cisternal space | chloroplast | stroma 
2935 | second electron-shell | first electron-shell | cisternal space | aqueous solution 
2938 | second electron-shell | first electron-shell | thylakoid space | aqueous solution 
2938 | second electron-shell | first electron-shell | thylakoid space | aqueous solution 
2941 | first electron-shell | atomic nucleus | first electron-shell | atomic nucleus 
2961 | amino group | nitrogen atom | tertiary protein structure | hydrogen-bond 
2961 | amino group | nitrogen atom | tertiary protein structure | van der waals interaction 
2961 | amino group | nitrogen atom | tertiary protein structure | hydrophobic interaction 
2961 | amino group | nitrogen atom | tertiary protein structure | secondary structure 
2962 | amino group | hydrogen atom | tertiary protein structure | hydrogen-bond 
2962 | amino group | hydrogen atom | tertiary protein structure | van der waals interaction 
2962 | amino group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
2962 | amino group | hydrogen atom | tertiary protein structure | secondary structure 
2976 | first electron-shell | atomic nucleus | second electron-shell | first electron-shell 
2977 | hydroxyl group | hydrogen atom | thylakoid space | aqueous solution 
2977 | hydroxyl group | hydrogen atom | thylakoid space | aqueous solution 
2978 | hydroxyl group | oxygen atom | thylakoid space | aqueous solution 
2978 | hydroxyl group | oxygen atom | thylakoid space | aqueous solution 
2979 | methyl group | hydrogen atom | chloroplast | stroma 
2981 | cisternal space | aqueous solution | thylakoid space | aqueous solution 
2981 | cisternal space | aqueous solution | thylakoid space | aqueous solution 
2989 | secondary structure | primary structure | secondary structure | primary structure 
2989 | secondary structure | primary structure | secondary structure | hydrogen-bond 
2990 | secondary structure | hydrogen-bond | secondary structure | primary structure 
2990 | secondary structure | hydrogen-bond | secondary structure | hydrogen-bond 
2993 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
2994 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
2995 | hydration shell | water molecule | chloroplast | stroma 
2996 | hydration shell | water molecule | chloroplast | stroma 
2997 | orbital | electron | first electron-shell | atomic nucleus 
2999 | ER membrane | carbon skeleton | cisternal space | aqueous solution 
3000 | ER membrane | cisternal space | cisternal space | aqueous solution 
3002 | glyoxysome | protein enzyme | amyloplast | starch 
3003 | glyoxysome | protein enzyme | amyloplast | starch 
3012 | thylakoid space | aqueous solution | chloroplast | stroma 
3013 | thylakoid space | aqueous solution | chloroplast | stroma 
3014 | orbital | electron | second electron-shell | first electron-shell 
3024 | peroxisome | protein enzyme | chloroplast | stroma 
3025 | peroxisome | protein enzyme | chloroplast | stroma 
3029 | membrane | carbon skeleton | thylakoid space | aqueous solution 
3029 | membrane | carbon skeleton | thylakoid space | aqueous solution 
3031 | mitochondrial matrix | aqueous solution | tertiary protein structure | hydrogen-bond 
3031 | mitochondrial matrix | aqueous solution | tertiary protein structure | van der waals interaction 
3031 | mitochondrial matrix | aqueous solution | tertiary protein structure | hydrophobic interaction 
3031 | mitochondrial matrix | aqueous solution | tertiary protein structure | secondary structure 
3032 | mitochondrial matrix | protein enzyme | tertiary protein structure | hydrogen-bond 
3032 | mitochondrial matrix | protein enzyme | tertiary protein structure | van der waals interaction 
3032 | mitochondrial matrix | protein enzyme | tertiary protein structure | hydrophobic interaction 
3032 | mitochondrial matrix | protein enzyme | tertiary protein structure | secondary structure 
3033 | mitochondrial matrix | ribosome | tertiary protein structure | hydrogen-bond 
3033 | mitochondrial matrix | ribosome | tertiary protein structure | van der waals interaction 
3033 | mitochondrial matrix | ribosome | tertiary protein structure | hydrophobic interaction 
3033 | mitochondrial matrix | ribosome | tertiary protein structure | secondary structure 
3034 | orbital | electron | capsule | cell wall 
3036 | nucleus | nucleolus | secondary structure | primary structure 
3036 | nucleus | nucleolus | secondary structure | hydrogen-bond 
3037 | glyoxysome | protein enzyme | tertiary protein structure | hydrogen-bond 
3037 | glyoxysome | protein enzyme | tertiary protein structure | van der waals interaction 
3037 | glyoxysome | protein enzyme | tertiary protein structure | hydrophobic interaction 
3037 | glyoxysome | protein enzyme | tertiary protein structure | secondary structure 
3038 | glyoxysome | protein enzyme | tertiary protein structure | hydrogen-bond 
3038 | glyoxysome | protein enzyme | tertiary protein structure | van der waals interaction 
3038 | glyoxysome | protein enzyme | tertiary protein structure | hydrophobic interaction 
3038 | glyoxysome | protein enzyme | tertiary protein structure | secondary structure 
3039 | first electron-shell | atomic nucleus | amyloplast | starch 
3048 | tertiary protein structure | hydrogen-bond | membrane | carbon skeleton 
3049 | tertiary protein structure | van der waals interaction | membrane | carbon skeleton 
3050 | tertiary protein structure | hydrophobic interaction | membrane | carbon skeleton 
3051 | tertiary protein structure | secondary structure | membrane | carbon skeleton 
3052 | peroxisome | protein enzyme | tertiary protein structure | hydrogen-bond 
3052 | peroxisome | protein enzyme | tertiary protein structure | van der waals interaction 
3052 | peroxisome | protein enzyme | tertiary protein structure | hydrophobic interaction 
3052 | peroxisome | protein enzyme | tertiary protein structure | secondary structure 
3053 | peroxisome | protein enzyme | tertiary protein structure | hydrogen-bond 
3053 | peroxisome | protein enzyme | tertiary protein structure | van der waals interaction 
3053 | peroxisome | protein enzyme | tertiary protein structure | hydrophobic interaction 
3053 | peroxisome | protein enzyme | tertiary protein structure | secondary structure 
3057 | atomic nucleus | proton | nuclear-envelope | carbon skeleton 
3061 | mitochondrial matrix | aqueous solution | capsule | cell wall 
3062 | mitochondrial matrix | protein enzyme | capsule | cell wall 
3063 | mitochondrial matrix | ribosome | capsule | cell wall 
3072 | ER membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
3073 | ER membrane | cisternal space | nuclear-envelope | carbon skeleton 
3076 | amyloplast | starch | thylakoid space | aqueous solution 
3076 | amyloplast | starch | thylakoid space | aqueous solution 
3077 | amyloplast | starch | cisternal space | aqueous solution 
3089 | sulfhydryl group | sulfur atom | amyloplast | starch 
3090 | sulfhydryl group | hydrogen atom | amyloplast | starch 
3092 | phosphate group | oxygen atom | chloroplast | stroma 
3093 | phosphate group | phosphorus atom | chloroplast | stroma 
3094 | phosphate group | oxygen atom | chloroplast | stroma 
3095 | chloroplast | stroma | amyloplast | starch 
3098 | atomic nucleus | proton | first electron-shell | atomic nucleus 
3101 | leaf | oxygen molecule | chloroplast | stroma 
3105 | hydration shell | water molecule | nuclear-envelope | carbon skeleton 
3106 | hydration shell | water molecule | nuclear-envelope | carbon skeleton 
3108 | extra cellular matrix | motor protein | capsule | cell wall 
3109 | extra cellular matrix | aqueous solution | capsule | cell wall 
3110 | thylakoid space | aqueous solution | chloroplast | stroma 
3111 | thylakoid space | aqueous solution | chloroplast | stroma 
3112 | capsule | cell wall | thylakoid space | aqueous solution 
3112 | capsule | cell wall | thylakoid space | aqueous solution 
3113 | tertiary protein structure | hydrogen-bond | membrane | carbon skeleton 
3114 | tertiary protein structure | van der waals interaction | membrane | carbon skeleton 
3115 | tertiary protein structure | hydrophobic interaction | membrane | carbon skeleton 
3116 | tertiary protein structure | secondary structure | membrane | carbon skeleton 
3117 | peroxisome | protein enzyme | membrane | carbon skeleton 
3118 | peroxisome | protein enzyme | membrane | carbon skeleton 
3119 | cisternal space | aqueous solution | capsule | cell wall 
3120 | glyoxysome | protein enzyme | first electron-shell | atomic nucleus 
3121 | glyoxysome | protein enzyme | first electron-shell | atomic nucleus 
3129 | glyoxysome | protein enzyme | tertiary protein structure | hydrogen-bond 
3129 | glyoxysome | protein enzyme | tertiary protein structure | van der waals interaction 
3129 | glyoxysome | protein enzyme | tertiary protein structure | hydrophobic interaction 
3129 | glyoxysome | protein enzyme | tertiary protein structure | secondary structure 
3130 | glyoxysome | protein enzyme | tertiary protein structure | hydrogen-bond 
3130 | glyoxysome | protein enzyme | tertiary protein structure | van der waals interaction 
3130 | glyoxysome | protein enzyme | tertiary protein structure | hydrophobic interaction 
3130 | glyoxysome | protein enzyme | tertiary protein structure | secondary structure 
3132 | stroma | ribosome | secondary structure | primary structure 
3132 | stroma | ribosome | secondary structure | hydrogen-bond 
3133 | stroma | protein enzyme | secondary structure | primary structure 
3133 | stroma | protein enzyme | secondary structure | hydrogen-bond 
3134 | stroma | protein enzyme | secondary structure | primary structure 
3134 | stroma | protein enzyme | secondary structure | hydrogen-bond 
3135 | stroma | MRNA | secondary structure | primary structure 
3135 | stroma | MRNA | secondary structure | hydrogen-bond 
3139 | chloroplast | stroma | cisternal space | aqueous solution 
3145 | chloroplast membrane | carbon skeleton | secondary structure | primary structure 
3145 | chloroplast membrane | carbon skeleton | secondary structure | hydrogen-bond 
3146 | chloroplast membrane | carbon skeleton | secondary structure | primary structure 
3146 | chloroplast membrane | carbon skeleton | secondary structure | hydrogen-bond 
3147 | nuclear-envelope | carbon skeleton | cisternal space | aqueous solution 
3157 | methyl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
3157 | methyl group | hydrogen atom | tertiary protein structure | van der waals interaction 
3157 | methyl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
3157 | methyl group | hydrogen atom | tertiary protein structure | secondary structure 
3158 | phosphate group | oxygen atom | membrane | carbon skeleton 
3159 | phosphate group | phosphorus atom | membrane | carbon skeleton 
3160 | phosphate group | oxygen atom | membrane | carbon skeleton 
3164 | ER membrane | carbon skeleton | first electron-shell | atomic nucleus 
3165 | ER membrane | cisternal space | first electron-shell | atomic nucleus 
3166 | glyoxysome | protein enzyme | chloroplast | stroma 
3167 | glyoxysome | protein enzyme | chloroplast | stroma 
3170 | tertiary protein structure | hydrogen-bond | capsule | cell wall 
3171 | tertiary protein structure | van der waals interaction | capsule | cell wall 
3172 | tertiary protein structure | hydrophobic interaction | capsule | cell wall 
3173 | tertiary protein structure | secondary structure | capsule | cell wall 
3174 | extra cellular matrix | motor protein | first electron-shell | atomic nucleus 
3175 | extra cellular matrix | aqueous solution | first electron-shell | atomic nucleus 
3177 | phosphate group | oxygen atom | second electron-shell | first electron-shell 
3178 | phosphate group | phosphorus atom | second electron-shell | first electron-shell 
3179 | phosphate group | oxygen atom | second electron-shell | first electron-shell 
3192 | hydration shell | water molecule | membrane | carbon skeleton 
3193 | hydration shell | water molecule | membrane | carbon skeleton 
3196 | hydroxyl group | hydrogen atom | chloroplast | stroma 
3197 | hydroxyl group | oxygen atom | chloroplast | stroma 
3200 | phosphate group | oxygen atom | secondary structure | primary structure 
3200 | phosphate group | oxygen atom | secondary structure | hydrogen-bond 
3201 | phosphate group | phosphorus atom | secondary structure | primary structure 
3201 | phosphate group | phosphorus atom | secondary structure | hydrogen-bond 
3202 | phosphate group | oxygen atom | secondary structure | primary structure 
3202 | phosphate group | oxygen atom | secondary structure | hydrogen-bond 
3203 | phosphate group | oxygen atom | tertiary protein structure | hydrogen-bond 
3203 | phosphate group | oxygen atom | tertiary protein structure | van der waals interaction 
3203 | phosphate group | oxygen atom | tertiary protein structure | hydrophobic interaction 
3203 | phosphate group | oxygen atom | tertiary protein structure | secondary structure 
3204 | phosphate group | phosphorus atom | tertiary protein structure | hydrogen-bond 
3204 | phosphate group | phosphorus atom | tertiary protein structure | van der waals interaction 
3204 | phosphate group | phosphorus atom | tertiary protein structure | hydrophobic interaction 
3204 | phosphate group | phosphorus atom | tertiary protein structure | secondary structure 
3205 | phosphate group | oxygen atom | tertiary protein structure | hydrogen-bond 
3205 | phosphate group | oxygen atom | tertiary protein structure | van der waals interaction 
3205 | phosphate group | oxygen atom | tertiary protein structure | hydrophobic interaction 
3205 | phosphate group | oxygen atom | tertiary protein structure | secondary structure 
3208 | thylakoid space | aqueous solution | tertiary protein structure | hydrogen-bond 
3208 | thylakoid space | aqueous solution | tertiary protein structure | van der waals interaction 
3208 | thylakoid space | aqueous solution | tertiary protein structure | hydrophobic interaction 
3208 | thylakoid space | aqueous solution | tertiary protein structure | secondary structure 
3209 | thylakoid space | aqueous solution | tertiary protein structure | hydrogen-bond 
3209 | thylakoid space | aqueous solution | tertiary protein structure | van der waals interaction 
3209 | thylakoid space | aqueous solution | tertiary protein structure | hydrophobic interaction 
3209 | thylakoid space | aqueous solution | tertiary protein structure | secondary structure 
3211 | mitochondrial membrane | carbon skeleton | membrane | carbon skeleton 
3212 | capsule | cell wall | cisternal space | aqueous solution 
3213 | thylakoid space | aqueous solution | membrane | carbon skeleton 
3214 | thylakoid space | aqueous solution | membrane | carbon skeleton 
3217 | nuclear-envelope | carbon skeleton | cisternal space | aqueous solution 
3219 | first electron-shell | atomic nucleus | secondary structure | primary structure 
3219 | first electron-shell | atomic nucleus | secondary structure | hydrogen-bond 
3228 | hydroxyl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
3228 | hydroxyl group | hydrogen atom | tertiary protein structure | van der waals interaction 
3228 | hydroxyl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
3228 | hydroxyl group | hydrogen atom | tertiary protein structure | secondary structure 
3229 | hydroxyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
3229 | hydroxyl group | oxygen atom | tertiary protein structure | van der waals interaction 
3229 | hydroxyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
3229 | hydroxyl group | oxygen atom | tertiary protein structure | secondary structure 
3230 | amino group | nitrogen atom | thylakoid space | aqueous solution 
