0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2590 | aquaporin | phospholipid bilayer | carrier protein | phospholipid bilayer 
2591 | gated Channel | phospholipid bilayer | integrin | phospholipid bilayer 
2592 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2593 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2594 | proton pump | phospholipid bilayer | hydration shell | water 
2595 | tight junction | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2596 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
2597 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
2598 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
2599 | hydration shell | water | tight junction | phospholipid bilayer 
2600 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
2601 | transport membrane protein | phospholipid bilayer | hydration shell | water 
2602 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
2603 | stroma | chloroplast | microfibril | transport vesicle 
2604 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
2605 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
2606 | integral protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2607 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
2608 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
2609 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
2610 | microfibril | transport vesicle | stroma | chloroplast 
2611 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
2612 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
2613 | stroma | chloroplast | proton pump | phospholipid bilayer 
2614 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
2615 | aquaporin | phospholipid bilayer | stroma | chloroplast 
2616 | integral protein | phospholipid bilayer | integral protein | phospholipid bilayer 
2617 | carrier protein | phospholipid bilayer | stroma | chloroplast 
2618 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2619 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2620 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
2621 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
2622 | tight junction | phospholipid bilayer | desmosome | phospholipid bilayer 
2623 | gated Channel | phospholipid bilayer | integrin | phospholipid bilayer 
2624 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
2625 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2626 | aquaporin | phospholipid bilayer | stroma | chloroplast 
2627 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2628 | tight junction | phospholipid bilayer | hydration shell | water 
2629 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2630 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
2631 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
2632 | sodium-potassium pump | phospholipid bilayer | stroma | chloroplast 
2633 | integrin | phospholipid bilayer | aquaporin | phospholipid bilayer 
2634 | cytoplasmic protein kinase | cytoplasm | hydration shell | water 
2635 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
2636 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
2637 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
2638 | tight junction | phospholipid bilayer | proton pump | phospholipid bilayer 
2639 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2640 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
2641 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
2642 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
2643 | desmosome | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2644 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2645 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
2646 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
2647 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2648 | tight junction | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2649 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
2650 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
2651 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
2652 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
2653 | transport membrane protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2654 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
2655 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
2656 | ATP synthase | phospholipid bilayer | stroma | chloroplast 
2657 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2658 | integrin | phospholipid bilayer | microfibril | transport vesicle 
2659 | integral protein | phospholipid bilayer | stroma | chloroplast 
2660 | hydration shell | water | proton pump | phospholipid bilayer 
2661 | stroma | chloroplast | proton pump | phospholipid bilayer 
2662 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
2663 | desmosome | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2664 | hydration shell | water | proton pump | phospholipid bilayer 
2665 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
2666 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2667 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
2668 | hydration shell | water | hydration shell | water 
2669 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
2670 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
2671 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2672 | desmosome | phospholipid bilayer | gated Channel | phospholipid bilayer 
2673 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
2674 | hydration shell | water | stroma | chloroplast 
2675 | aquaporin | phospholipid bilayer | stroma | chloroplast 
2676 | proton pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
2677 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
2678 | stroma | chloroplast | microfibril | transport vesicle 
2679 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
2680 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
2681 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
2682 | integral protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
2683 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
2684 | integral protein | phospholipid bilayer | hydration shell | water 
2685 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
2686 | hydration shell | water | microfibril | transport vesicle 
2687 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2688 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
2689 | aquaporin | phospholipid bilayer | proton pump | phospholipid bilayer 
2690 | stroma | chloroplast | hydration shell | water 
2691 | microfibril | transport vesicle | stroma | chloroplast 
2692 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
2693 | ATP synthase | phospholipid bilayer | integral protein | phospholipid bilayer 
2694 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
2695 | transport membrane protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
2696 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
2697 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2698 | gated Channel | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2699 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2700 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2701 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
2702 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
2703 | aquaporin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2704 | stroma | chloroplast | carrier protein | phospholipid bilayer 
2705 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
2706 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
2707 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2708 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
2709 | sodium-potassium pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
2710 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2711 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
2712 | carrier protein | phospholipid bilayer | microfibril | transport vesicle 
2713 | proton pump | phospholipid bilayer | desmosome | phospholipid bilayer 
2714 | gated Channel | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2715 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
2716 | gated Channel | phospholipid bilayer | hydration shell | water 
2717 | desmosome | phospholipid bilayer | gated Channel | phospholipid bilayer 
2718 | carrier protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
2719 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
2720 | integrin | phospholipid bilayer | microfibril | transport vesicle 
2721 | desmosome | phospholipid bilayer | aquaporin | phospholipid bilayer 
2722 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
2723 | desmosome | phospholipid bilayer | stroma | chloroplast 
2724 | stroma | chloroplast | proton pump | phospholipid bilayer 
2725 | tight junction | phospholipid bilayer | proton pump | phospholipid bilayer 
2726 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2727 | tight junction | phospholipid bilayer | proton pump | phospholipid bilayer 
2728 | hydration shell | water | ATP synthase | phospholipid bilayer 
2729 | transport membrane protein | phospholipid bilayer | integral protein | phospholipid bilayer 
2730 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
2731 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2732 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
2733 | hydration shell | water | tight junction | phospholipid bilayer 
2734 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
2735 | aquaporin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2736 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
2737 | hydration shell | water | hydration shell | water 
2738 | desmosome | phospholipid bilayer | gated Channel | phospholipid bilayer 
2739 | stroma | chloroplast | microfibril | transport vesicle 
2740 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
2741 | carrier protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
2742 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2743 | microfibril | transport vesicle | gated Channel | phospholipid bilayer 
2744 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
2745 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
2746 | desmosome | phospholipid bilayer | integral protein | phospholipid bilayer 
2747 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
2748 | tight junction | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2749 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
2750 | sodium-potassium pump | phospholipid bilayer | stroma | chloroplast 
2751 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
2752 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
2753 | gated Channel | phospholipid bilayer | hydration shell | water 
2754 | proton pump | phospholipid bilayer | integrin | phospholipid bilayer 
2755 | stroma | chloroplast | tight junction | phospholipid bilayer 
2756 | microfibril | transport vesicle | stroma | chloroplast 
2757 | carrier protein | phospholipid bilayer | stroma | chloroplast 
2758 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
2759 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
2760 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
2761 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
2762 | gated Channel | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2763 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
2764 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
2765 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
2766 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
2767 | integrin | phospholipid bilayer | microfibril | transport vesicle 
2768 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
2769 | ATP synthase | phospholipid bilayer | gated Channel | phospholipid bilayer 
2770 | desmosome | phospholipid bilayer | aquaporin | phospholipid bilayer 
2771 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2772 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
2773 | aquaporin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2774 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
2775 | sodium-potassium pump | phospholipid bilayer | hydration shell | water 
2776 | sodium-potassium pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
2777 | ATP synthase | phospholipid bilayer | hydration shell | water 
2778 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2779 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2780 | tight junction | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2781 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2782 | sodium-potassium pump | phospholipid bilayer | hydration shell | water 
2783 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
2784 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
2785 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
2786 | sodium-potassium pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
2787 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2788 | stroma | chloroplast | proton pump | phospholipid bilayer 
2789 | carrier protein | phospholipid bilayer | hydration shell | water 
2790 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2791 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
2792 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2793 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
2794 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
2795 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
2796 | hydration shell | water | desmosome | phospholipid bilayer 
2797 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
2798 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2799 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
2800 | stroma | chloroplast | hydration shell | water 
2801 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
2802 | desmosome | phospholipid bilayer | hydration shell | water 
2803 | hydration shell | water | desmosome | phospholipid bilayer 
2804 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
2805 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
2806 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
2807 | tight junction | phospholipid bilayer | stroma | chloroplast 
2808 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
2809 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
2810 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
2811 | aquaporin | phospholipid bilayer | carrier protein | phospholipid bilayer 
2812 | hydration shell | water | microfibril | transport vesicle 
2813 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
2814 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
2815 | stroma | chloroplast | tight junction | phospholipid bilayer 
2816 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2817 | proton pump | phospholipid bilayer | stroma | chloroplast 
2818 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
2819 | microfibril | transport vesicle | integrin | phospholipid bilayer 
2820 | proton pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2821 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
2822 | stroma | chloroplast | microfibril | transport vesicle 
2823 | sodium-potassium pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2824 | hydration shell | water | desmosome | phospholipid bilayer 
2825 | hydration shell | water | hydration shell | water 
2826 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
2827 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
2828 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
2829 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
2830 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
2831 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
2832 | stroma | chloroplast | integrin | phospholipid bilayer 
2833 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
2834 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
2835 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
2836 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
2837 | aquaporin | phospholipid bilayer | gated Channel | phospholipid bilayer 
2838 | proton pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
2839 | integrin | phospholipid bilayer | hydration shell | water 
2840 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2841 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2842 | microfibril | transport vesicle | microfibril | transport vesicle 
2843 | ATP synthase | phospholipid bilayer | integral protein | phospholipid bilayer 
2844 | hydration shell | water | ATP synthase | phospholipid bilayer 
2845 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2846 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2847 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
2848 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2849 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
2850 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
2851 | gated Channel | phospholipid bilayer | stroma | chloroplast 
2852 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
2853 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
2854 | transport membrane protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2855 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
2856 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2857 | ATP synthase | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2858 | cytoplasmic protein kinase | cytoplasm | ATP synthase | phospholipid bilayer 
2859 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
2860 | ATP synthase | phospholipid bilayer | integral protein | phospholipid bilayer 
2861 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
2862 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
2863 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
2864 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
2865 | hydration shell | water | microfibril | transport vesicle 
2866 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
2867 | stroma | chloroplast | gated Channel | phospholipid bilayer 
2868 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
2869 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2870 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
2871 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
2872 | tight junction | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2873 | microfibril | transport vesicle | hydration shell | water 
2874 | stroma | chloroplast | desmosome | phospholipid bilayer 
2875 | stroma | chloroplast | carrier protein | phospholipid bilayer 
2876 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
2877 | sodium-potassium pump | phospholipid bilayer | hydration shell | water 
2878 | integral protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
2879 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
2880 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
2881 | transport membrane protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2882 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2883 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2884 | integrin | phospholipid bilayer | stroma | chloroplast 
2885 | proton pump | phospholipid bilayer | proton pump | phospholipid bilayer 
2886 | aquaporin | phospholipid bilayer | stroma | chloroplast 
2887 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
2888 | hydration shell | water | integral protein | phospholipid bilayer 
2889 | carrier protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2890 | ATP synthase | phospholipid bilayer | integral protein | phospholipid bilayer 
2891 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2892 | hydration shell | water | cytoplasmic protein kinase | cytoplasm 
2893 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2894 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
2895 | stroma | chloroplast | tight junction | phospholipid bilayer 
2896 | integrin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2897 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
2898 | stroma | chloroplast | gated Channel | phospholipid bilayer 
2899 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
2900 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
2901 | hydration shell | water | integrin | phospholipid bilayer 
2902 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
2903 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
2904 | sodium-potassium pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2905 | microfibril | transport vesicle | stroma | chloroplast 
2906 | integral protein | phospholipid bilayer | stroma | chloroplast 
2907 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
2908 | aquaporin | phospholipid bilayer | stroma | chloroplast 
2909 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2910 | gated Channel | phospholipid bilayer | aquaporin | phospholipid bilayer 
2911 | transport membrane protein | phospholipid bilayer | tight junction | phospholipid bilayer 
2912 | integrin | phospholipid bilayer | tight junction | phospholipid bilayer 
2913 | proton pump | phospholipid bilayer | hydration shell | water 
2914 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
2915 | hydration shell | water | stroma | chloroplast 
2916 | cytoplasmic protein kinase | cytoplasm | hydration shell | water 
2917 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
2918 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
2919 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
2920 | ATP synthase | phospholipid bilayer | carrier protein | phospholipid bilayer 
2921 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2922 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
2923 | integral protein | phospholipid bilayer | stroma | chloroplast 
2924 | gated Channel | phospholipid bilayer | integral protein | phospholipid bilayer 
2925 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
2926 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
2927 | integrin | phospholipid bilayer | gated Channel | phospholipid bilayer 
2928 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
2929 | integral protein | phospholipid bilayer | microfibril | transport vesicle 
2930 | gated Channel | phospholipid bilayer | stroma | chloroplast 
2931 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
2932 | tight junction | phospholipid bilayer | stroma | chloroplast 
2933 | stroma | chloroplast | stroma | chloroplast 
2934 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
2935 | stroma | chloroplast | stroma | chloroplast 
2936 | integrin | phospholipid bilayer | microfibril | transport vesicle 
2937 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
2938 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
2939 | integrin | phospholipid bilayer | aquaporin | phospholipid bilayer 
2940 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
2941 | integrin | phospholipid bilayer | tight junction | phospholipid bilayer 
2942 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
2943 | desmosome | phospholipid bilayer | integral protein | phospholipid bilayer 
2944 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
2945 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
2946 | stroma | chloroplast | integral protein | phospholipid bilayer 
2947 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
2948 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
2949 | integral protein | phospholipid bilayer | microfibril | transport vesicle 
2950 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2951 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2952 | ATP synthase | phospholipid bilayer | aquaporin | phospholipid bilayer 
2953 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2954 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2955 | carrier protein | phospholipid bilayer | proton pump | phospholipid bilayer 
2956 | hydration shell | water | integrin | phospholipid bilayer 
2957 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
2958 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
2959 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
2960 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
2961 | proton pump | phospholipid bilayer | stroma | chloroplast 
2962 | carrier protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
2963 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2964 | proton pump | phospholipid bilayer | integral protein | phospholipid bilayer 
2965 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
2966 | desmosome | phospholipid bilayer | integral protein | phospholipid bilayer 
2967 | hydration shell | water | proton pump | phospholipid bilayer 
2968 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
2969 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2970 | hydration shell | water | transport membrane protein | phospholipid bilayer 
2971 | ATP synthase | phospholipid bilayer | aquaporin | phospholipid bilayer 
2972 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2973 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2974 | hydration shell | water | aquaporin | phospholipid bilayer 
2975 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
2976 | hydration shell | water | integrin | phospholipid bilayer 
2977 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
2978 | integral protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
2979 | proton pump | phospholipid bilayer | integral protein | phospholipid bilayer 
2980 | hydration shell | water | aquaporin | phospholipid bilayer 
2981 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2982 | hydration shell | water | gated Channel | phospholipid bilayer 
2983 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
2984 | hydration shell | water | stroma | chloroplast 
2985 | carrier protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
2986 | stroma | chloroplast | hydration shell | water 
