15 | hydrogenated vegetable oil | saturated fat | hydrophobic substance | hydrophobic compound 
12543 | nitrogen atom | neutron | cytoskeleton | microfilament 
12543 | nitrogen atom | neutron | cytoskeleton | microtubule 
12544 | nitrogen atom | valence electron | cytoskeleton | intermediate filament 
12544 | nitrogen atom | valence electron | cytoskeleton | microfilament 
12544 | nitrogen atom | valence electron | cytoskeleton | microtubule 
12566 | sodium atom | neutron | buffered solution | buffer 
12567 | sodium atom | valence electron | buffered solution | buffer 
12569 | atom | proton | sunlight | ultraviolet ray 
12569 | atom | proton | sunlight | infrared ray 
12569 | atom | proton | sunlight | visible light 
12570 | atom | electron | sunlight | ultraviolet ray 
12570 | atom | electron | sunlight | infrared ray 
12570 | atom | electron | sunlight | visible light 
12588 | microfibril | atom | polar substance | polar molecule 
12594 | transport membrane protein | polypeptide | aqueous solution | water 
12595 | transport membrane protein | hydrophobic amino acid | aqueous solution | water 
12596 | transport membrane protein | atom | aqueous solution | water 
12597 | transport membrane protein | monomer | aqueous solution | water 
12598 | transport membrane protein | polar amino acid | aqueous solution | water 
12614 | flagellum | protein enzyme | nucleoside | nitrogenous base 
12614 | flagellum | protein enzyme | nucleoside | pentose 
12620 | phospholipid | fatty acid | mitochondrion | mitochondrial membrane 
12620 | phospholipid | fatty acid | mitochondrion | protein enzyme 
12620 | phospholipid | fatty acid | mitochondrion | MRNA 
12620 | phospholipid | fatty acid | mitochondrion | ribosome 
12620 | phospholipid | fatty acid | mitochondrion | protein enzyme 
12620 | phospholipid | fatty acid | mitochondrion | aqueous solution 
12621 | phospholipid | glycerol | mitochondrion | mitochondrial membrane 
12621 | phospholipid | glycerol | mitochondrion | protein enzyme 
12621 | phospholipid | glycerol | mitochondrion | MRNA 
12621 | phospholipid | glycerol | mitochondrion | ribosome 
12621 | phospholipid | glycerol | mitochondrion | protein enzyme 
12621 | phospholipid | glycerol | mitochondrion | aqueous solution 
12622 | phospholipid | fatty acid | mitochondrion | mitochondrial membrane 
12622 | phospholipid | fatty acid | mitochondrion | protein enzyme 
12622 | phospholipid | fatty acid | mitochondrion | MRNA 
12622 | phospholipid | fatty acid | mitochondrion | ribosome 
12622 | phospholipid | fatty acid | mitochondrion | protein enzyme 
12622 | phospholipid | fatty acid | mitochondrion | aqueous solution 
12623 | phospholipid | phosphorus atom | mitochondrion | mitochondrial membrane 
12623 | phospholipid | phosphorus atom | mitochondrion | protein enzyme 
12623 | phospholipid | phosphorus atom | mitochondrion | MRNA 
12623 | phospholipid | phosphorus atom | mitochondrion | ribosome 
12623 | phospholipid | phosphorus atom | mitochondrion | protein enzyme 
12623 | phospholipid | phosphorus atom | mitochondrion | aqueous solution 
12624 | phospholipid | oxygen atom | mitochondrion | mitochondrial membrane 
12624 | phospholipid | oxygen atom | mitochondrion | protein enzyme 
12624 | phospholipid | oxygen atom | mitochondrion | MRNA 
12624 | phospholipid | oxygen atom | mitochondrion | ribosome 
12624 | phospholipid | oxygen atom | mitochondrion | protein enzyme 
12624 | phospholipid | oxygen atom | mitochondrion | aqueous solution 
12625 | NADPH | atom | capsule | aqueous solution 
12647 | methionine | oxygen atom | hydroxide ion | oxygen atom 
12647 | methionine | oxygen atom | hydroxide ion | hydrogen atom 
12648 | methionine | oxygen atom | hydroxide ion | oxygen atom 
12648 | methionine | oxygen atom | hydroxide ion | hydrogen atom 
12649 | methionine | sulfur atom | hydroxide ion | oxygen atom 
12649 | methionine | sulfur atom | hydroxide ion | hydrogen atom 
12681 | lactate | oxygen atom | cytoskeleton | intermediate filament 
12681 | lactate | oxygen atom | cytoskeleton | microfilament 
12681 | lactate | oxygen atom | cytoskeleton | microtubule 
12682 | lactate | hydrogen atom | cytoskeleton | intermediate filament 
12682 | lactate | hydrogen atom | cytoskeleton | microfilament 
12682 | lactate | hydrogen atom | cytoskeleton | microtubule 
12683 | NADPH | atom | neutral solution | hydroxide ion 
12683 | NADPH | atom | neutral solution | hydrogen ion 
12688 | hexose | oxygen atom | smooth endoplasmic reticulum | ER membrane 
12688 | hexose | oxygen atom | smooth endoplasmic reticulum | cisterna 
12688 | hexose | oxygen atom | smooth endoplasmic reticulum | aqueous solution 
12688 | hexose | oxygen atom | smooth endoplasmic reticulum | protein enzyme 
12688 | hexose | oxygen atom | smooth endoplasmic reticulum | protein enzyme 
12689 | hexose | hydrogen atom | smooth endoplasmic reticulum | ER membrane 
12689 | hexose | hydrogen atom | smooth endoplasmic reticulum | cisterna 
12689 | hexose | hydrogen atom | smooth endoplasmic reticulum | aqueous solution 
12689 | hexose | hydrogen atom | smooth endoplasmic reticulum | protein enzyme 
12689 | hexose | hydrogen atom | smooth endoplasmic reticulum | protein enzyme 
12690 | hexose | oxygen atom | smooth endoplasmic reticulum | ER membrane 
12690 | hexose | oxygen atom | smooth endoplasmic reticulum | cisterna 
12690 | hexose | oxygen atom | smooth endoplasmic reticulum | aqueous solution 
12690 | hexose | oxygen atom | smooth endoplasmic reticulum | protein enzyme 
12690 | hexose | oxygen atom | smooth endoplasmic reticulum | protein enzyme 
12725 | amylopectin | monomer | sunlight | ultraviolet ray 
12725 | amylopectin | monomer | sunlight | infrared ray 
12725 | amylopectin | monomer | sunlight | visible light 
12726 | amylopectin | alpha glucose | sunlight | ultraviolet ray 
12726 | amylopectin | alpha glucose | sunlight | infrared ray 
12726 | amylopectin | alpha glucose | sunlight | visible light 
12727 | amylopectin | hydrogen atom | sunlight | ultraviolet ray 
12727 | amylopectin | hydrogen atom | sunlight | infrared ray 
12727 | amylopectin | hydrogen atom | sunlight | visible light 
12728 | amylopectin | oxygen atom | sunlight | ultraviolet ray 
12728 | amylopectin | oxygen atom | sunlight | infrared ray 
12728 | amylopectin | oxygen atom | sunlight | visible light 
12729 | amylopectin | oxygen atom | sunlight | ultraviolet ray 
12729 | amylopectin | oxygen atom | sunlight | infrared ray 
12729 | amylopectin | oxygen atom | sunlight | visible light 
12730 | O2-gas | oxygen molecule | water molecule | oxygen atom 
12730 | O2-gas | oxygen molecule | water molecule | hydrogen atom 
12730 | O2-gas | oxygen molecule | water molecule | hydrogen atom 
12738 | buffered solution | buffer | acidic solution | water 
12738 | buffered solution | buffer | acidic solution | acid 
12738 | buffered solution | buffer | acidic solution | hydrogen ion 
12738 | buffered solution | buffer | acidic solution | anion 
12756 | iron atom | neutron | chloroplast | protein enzyme 
12756 | iron atom | neutron | chloroplast | chloroplast membrane 
12756 | iron atom | neutron | chloroplast | protein enzyme 
12756 | iron atom | neutron | chloroplast | carotenoid 
12756 | iron atom | neutron | chloroplast | granum 
12756 | iron atom | neutron | chloroplast | stroma 
12756 | iron atom | neutron | chloroplast | protein enzyme 
12756 | iron atom | neutron | chloroplast | ribosome 
12757 | iron atom | valence electron | chloroplast | protein enzyme 
12757 | iron atom | valence electron | chloroplast | chloroplast membrane 
12757 | iron atom | valence electron | chloroplast | protein enzyme 
12757 | iron atom | valence electron | chloroplast | carotenoid 
12757 | iron atom | valence electron | chloroplast | granum 
12757 | iron atom | valence electron | chloroplast | stroma 
12757 | iron atom | valence electron | chloroplast | protein enzyme 
12757 | iron atom | valence electron | chloroplast | ribosome 
12766 | acidic amino acid | oxygen atom | receptor protein | monomer 
12767 | acidic amino acid | hydrogen atom | receptor protein | monomer 
12768 | acidic amino acid | oxygen atom | receptor protein | monomer 
12769 | acidic amino acid | hydrogen atom | receptor protein | monomer 
12770 | acidic amino acid | nitrogen atom | receptor protein | monomer 
12774 | plant cell-wall | cellulose | water vapour | water molecule 
12775 | plant cell-wall | microfibril | water vapour | water molecule 
12776 | plant cell-wall | polysaccharide | water vapour | water molecule 
12795 | peripheral protein | monomer | endoplasmic reticulum | ER membrane 
12795 | peripheral protein | monomer | endoplasmic reticulum | cisterna 
12795 | peripheral protein | monomer | endoplasmic reticulum | protein enzyme 
12795 | peripheral protein | monomer | endoplasmic reticulum | aqueous solution 
12795 | peripheral protein | monomer | endoplasmic reticulum | cisterna 
12796 | peripheral protein | atom | endoplasmic reticulum | ER membrane 
12796 | peripheral protein | atom | endoplasmic reticulum | cisterna 
12796 | peripheral protein | atom | endoplasmic reticulum | protein enzyme 
12796 | peripheral protein | atom | endoplasmic reticulum | aqueous solution 
12796 | peripheral protein | atom | endoplasmic reticulum | cisterna 
12797 | peripheral protein | hydrophobic amino acid | endoplasmic reticulum | ER membrane 
12797 | peripheral protein | hydrophobic amino acid | endoplasmic reticulum | cisterna 
12797 | peripheral protein | hydrophobic amino acid | endoplasmic reticulum | protein enzyme 
12797 | peripheral protein | hydrophobic amino acid | endoplasmic reticulum | aqueous solution 
12797 | peripheral protein | hydrophobic amino acid | endoplasmic reticulum | cisterna 
12798 | peripheral protein | polar amino acid | endoplasmic reticulum | ER membrane 
12798 | peripheral protein | polar amino acid | endoplasmic reticulum | cisterna 
12798 | peripheral protein | polar amino acid | endoplasmic reticulum | protein enzyme 
12798 | peripheral protein | polar amino acid | endoplasmic reticulum | aqueous solution 
12798 | peripheral protein | polar amino acid | endoplasmic reticulum | cisterna 
12799 | peripheral protein | polypeptide | endoplasmic reticulum | ER membrane 
12799 | peripheral protein | polypeptide | endoplasmic reticulum | cisterna 
12799 | peripheral protein | polypeptide | endoplasmic reticulum | protein enzyme 
12799 | peripheral protein | polypeptide | endoplasmic reticulum | aqueous solution 
12799 | peripheral protein | polypeptide | endoplasmic reticulum | cisterna 
12802 | nitrogenous base | hydrogen atom | cell wall | carbohydrate 
12802 | nitrogenous base | hydrogen atom | cell wall | protein 
12810 | glycerol | hydrogen atom | actin | monomer 
12832 | ionic compound | anion | aqueous solution | water 
12833 | ionic compound | cation | aqueous solution | water 
12834 | hydrophobic amino acid | hydrogen atom | water molecule | oxygen atom 
12834 | hydrophobic amino acid | hydrogen atom | water molecule | hydrogen atom 
12834 | hydrophobic amino acid | hydrogen atom | water molecule | hydrogen atom 
12835 | hydrophobic amino acid | oxygen atom | water molecule | oxygen atom 
12835 | hydrophobic amino acid | oxygen atom | water molecule | hydrogen atom 
12835 | hydrophobic amino acid | oxygen atom | water molecule | hydrogen atom 
12836 | hydrophobic amino acid | oxygen atom | water molecule | oxygen atom 
12836 | hydrophobic amino acid | oxygen atom | water molecule | hydrogen atom 
12836 | hydrophobic amino acid | oxygen atom | water molecule | hydrogen atom 
12837 | hydrophobic amino acid | hydrogen atom | water molecule | oxygen atom 
12837 | hydrophobic amino acid | hydrogen atom | water molecule | hydrogen atom 
12837 | hydrophobic amino acid | hydrogen atom | water molecule | hydrogen atom 
12838 | hydrophobic amino acid | nitrogen atom | water molecule | oxygen atom 
12838 | hydrophobic amino acid | nitrogen atom | water molecule | hydrogen atom 
12838 | hydrophobic amino acid | nitrogen atom | water molecule | hydrogen atom 
12865 | glucose-6-phosphate | phosphorus atom | ionic compound | anion 
12865 | glucose-6-phosphate | phosphorus atom | ionic compound | cation 
12871 | organism | water | exoskeleton | chitin 
12881 | oxidoreductase | monomer | hydrogenated vegetable oil | saturated fat 
12882 | oxidoreductase | atom | hydrogenated vegetable oil | saturated fat 
12883 | glycolipid | atom | smooth endoplasmic reticulum | ER membrane 
12883 | glycolipid | atom | smooth endoplasmic reticulum | cisterna 
12883 | glycolipid | atom | smooth endoplasmic reticulum | aqueous solution 
12883 | glycolipid | atom | smooth endoplasmic reticulum | protein enzyme 
12883 | glycolipid | atom | smooth endoplasmic reticulum | protein enzyme 
12884 | glycolipid | carbohydrate side chain | smooth endoplasmic reticulum | ER membrane 
12884 | glycolipid | carbohydrate side chain | smooth endoplasmic reticulum | cisterna 
12884 | glycolipid | carbohydrate side chain | smooth endoplasmic reticulum | aqueous solution 
12884 | glycolipid | carbohydrate side chain | smooth endoplasmic reticulum | protein enzyme 
12884 | glycolipid | carbohydrate side chain | smooth endoplasmic reticulum | protein enzyme 
12885 | cholesterol | atom | ice | water molecule 
12885 | cholesterol | atom | ice | water molecule 
12886 | C3 plant | water | mitochondrion | mitochondrial membrane 
12886 | C3 plant | water | mitochondrion | protein enzyme 
12886 | C3 plant | water | mitochondrion | MRNA 
12886 | C3 plant | water | mitochondrion | ribosome 
12886 | C3 plant | water | mitochondrion | protein enzyme 
12886 | C3 plant | water | mitochondrion | aqueous solution 
12887 | C3 plant | plant cell | mitochondrion | mitochondrial membrane 
12887 | C3 plant | plant cell | mitochondrion | protein enzyme 
12887 | C3 plant | plant cell | mitochondrion | MRNA 
12887 | C3 plant | plant cell | mitochondrion | ribosome 
12887 | C3 plant | plant cell | mitochondrion | protein enzyme 
12887 | C3 plant | plant cell | mitochondrion | aqueous solution 
12900 | water molecule | oxygen atom | thylakoid membrane | plastoquinone 
12900 | water molecule | oxygen atom | thylakoid membrane | phospholipid bilayer 
12900 | water molecule | oxygen atom | thylakoid membrane | ATP synthase 
12900 | water molecule | oxygen atom | thylakoid membrane | thylakoid electron transport chain 
12901 | water molecule | hydrogen atom | thylakoid membrane | plastoquinone 
12901 | water molecule | hydrogen atom | thylakoid membrane | phospholipid bilayer 
12901 | water molecule | hydrogen atom | thylakoid membrane | ATP synthase 
12901 | water molecule | hydrogen atom | thylakoid membrane | thylakoid electron transport chain 
12902 | water molecule | hydrogen atom | thylakoid membrane | plastoquinone 
12902 | water molecule | hydrogen atom | thylakoid membrane | phospholipid bilayer 
12902 | water molecule | hydrogen atom | thylakoid membrane | ATP synthase 
12902 | water molecule | hydrogen atom | thylakoid membrane | thylakoid electron transport chain 
12909 | sulfur atom | neutron | exoskeleton | chitin 
12910 | sulfur atom | valence electron | exoskeleton | chitin 
12916 | amyloplast | aqueous solution | glycerol | hydrogen atom 
12919 | acidic amino acid | oxygen atom | cell wall | carbohydrate 
12919 | acidic amino acid | oxygen atom | cell wall | protein 
12920 | acidic amino acid | hydrogen atom | cell wall | carbohydrate 
12920 | acidic amino acid | hydrogen atom | cell wall | protein 
12921 | acidic amino acid | oxygen atom | cell wall | carbohydrate 
12921 | acidic amino acid | oxygen atom | cell wall | protein 
12922 | acidic amino acid | hydrogen atom | cell wall | carbohydrate 
12922 | acidic amino acid | hydrogen atom | cell wall | protein 
12923 | acidic amino acid | nitrogen atom | cell wall | carbohydrate 
12923 | acidic amino acid | nitrogen atom | cell wall | protein 
12943 | nitrogenous base | hydrogen atom | hydroxide ion | oxygen atom 
12943 | nitrogenous base | hydrogen atom | hydroxide ion | hydrogen atom 
12951 | thylakoid | thylakoid membrane | microtubule | tubulin 
12964 | neutral solution | hydroxide ion | water | water molecule 
12964 | neutral solution | hydroxide ion | water | water molecule 
12965 | neutral solution | hydrogen ion | water | water molecule 
12965 | neutral solution | hydrogen ion | water | water molecule 
12969 | membrane | phospholipid bilayer | water molecule | oxygen atom 
12969 | membrane | phospholipid bilayer | water molecule | hydrogen atom 
12969 | membrane | phospholipid bilayer | water molecule | hydrogen atom 
12970 | membrane | glycoprotein | water molecule | oxygen atom 
12970 | membrane | glycoprotein | water molecule | hydrogen atom 
12970 | membrane | glycoprotein | water molecule | hydrogen atom 
12971 | membrane | glycolipid | water molecule | oxygen atom 
12971 | membrane | glycolipid | water molecule | hydrogen atom 
12971 | membrane | glycolipid | water molecule | hydrogen atom 
12972 | membrane | saturated fatty acid | water molecule | oxygen atom 
12972 | membrane | saturated fatty acid | water molecule | hydrogen atom 
12972 | membrane | saturated fatty acid | water molecule | hydrogen atom 
12982 | aqueous salt solution | water | hydrophilic substance | hydrophilic compound 
12983 | aqueous salt solution | ionic compound | hydrophilic substance | hydrophilic compound 
12986 | cytoplasm | cellular structure | smooth endoplasmic reticulum | ER membrane 
12986 | cytoplasm | cellular structure | smooth endoplasmic reticulum | cisterna 
12986 | cytoplasm | cellular structure | smooth endoplasmic reticulum | aqueous solution 
12986 | cytoplasm | cellular structure | smooth endoplasmic reticulum | protein enzyme 
12986 | cytoplasm | cellular structure | smooth endoplasmic reticulum | protein enzyme 
12987 | cytoplasm | hydrophilic compound | smooth endoplasmic reticulum | ER membrane 
12987 | cytoplasm | hydrophilic compound | smooth endoplasmic reticulum | cisterna 
12987 | cytoplasm | hydrophilic compound | smooth endoplasmic reticulum | aqueous solution 
12987 | cytoplasm | hydrophilic compound | smooth endoplasmic reticulum | protein enzyme 
12987 | cytoplasm | hydrophilic compound | smooth endoplasmic reticulum | protein enzyme 
12988 | atom | proton | ice | water molecule 
12988 | atom | proton | ice | water molecule 
12989 | atom | electron | ice | water molecule 
12989 | atom | electron | ice | water molecule 
13000 | glycoprotein | carbohydrate side chain | polymer | monomer 
13000 | glycoprotein | carbohydrate side chain | polymer | monomer 
13001 | glycoprotein | polypeptide | polymer | monomer 
13001 | glycoprotein | polypeptide | polymer | monomer 
13002 | glycoprotein | monomer | polymer | monomer 
13002 | glycoprotein | monomer | polymer | monomer 
13003 | glycoprotein | atom | polymer | monomer 
13003 | glycoprotein | atom | polymer | monomer 
13004 | water molecule | oxygen atom | walled cell | cell wall 
13005 | water molecule | hydrogen atom | walled cell | cell wall 
13006 | water molecule | hydrogen atom | walled cell | cell wall 
13030 | triose | oxygen atom | walled cell | cell wall 
13031 | triose | hydrogen atom | walled cell | cell wall 
13032 | triose | oxygen atom | walled cell | cell wall 
13039 | amyloplast | aqueous solution | receptor protein | monomer 
13045 | molecule | atom | aqueous solution | water 
13046 | lysosome | lysosomal enzyme | mesophyll | mesophyll cell 
13046 | lysosome | lysosomal enzyme | mesophyll | mesophyll cell 
13046 | lysosome | lysosomal enzyme | mesophyll | mesophyll cell 
13047 | lysosome | lysosomal enzyme | mesophyll | mesophyll cell 
13047 | lysosome | lysosomal enzyme | mesophyll | mesophyll cell 
13047 | lysosome | lysosomal enzyme | mesophyll | mesophyll cell 
13048 | nucleotide | nucleoside | water molecule | oxygen atom 
13048 | nucleotide | nucleoside | water molecule | hydrogen atom 
13048 | nucleotide | nucleoside | water molecule | hydrogen atom 
13049 | nucleotide | phosphorus atom | water molecule | oxygen atom 
13049 | nucleotide | phosphorus atom | water molecule | hydrogen atom 
13049 | nucleotide | phosphorus atom | water molecule | hydrogen atom 
13050 | nucleotide | oxygen atom | water molecule | oxygen atom 
13050 | nucleotide | oxygen atom | water molecule | hydrogen atom 
13050 | nucleotide | oxygen atom | water molecule | hydrogen atom 
13051 | nucleotide | oxygen atom | water molecule | oxygen atom 
13051 | nucleotide | oxygen atom | water molecule | hydrogen atom 
13051 | nucleotide | oxygen atom | water molecule | hydrogen atom 
13054 | oxygen molecule | oxygen atom | O2-gas | oxygen molecule 
13055 | oxygen molecule | oxygen atom | O2-gas | oxygen molecule 
13062 | pyruvate | oxygen atom | acidic solution | water 
13062 | pyruvate | oxygen atom | acidic solution | acid 
13062 | pyruvate | oxygen atom | acidic solution | hydrogen ion 
13062 | pyruvate | oxygen atom | acidic solution | anion 
13063 | pyruvate | hydrogen atom | acidic solution | water 
13063 | pyruvate | hydrogen atom | acidic solution | acid 
13063 | pyruvate | hydrogen atom | acidic solution | hydrogen ion 
13063 | pyruvate | hydrogen atom | acidic solution | anion 
13064 | pyruvate | oxygen atom | acidic solution | water 
13064 | pyruvate | oxygen atom | acidic solution | acid 
13064 | pyruvate | oxygen atom | acidic solution | hydrogen ion 
13064 | pyruvate | oxygen atom | acidic solution | anion 
13072 | vacuole | aqueous solution | smooth endoplasmic reticulum | ER membrane 
13072 | vacuole | aqueous solution | smooth endoplasmic reticulum | cisterna 
13072 | vacuole | aqueous solution | smooth endoplasmic reticulum | aqueous solution 
13072 | vacuole | aqueous solution | smooth endoplasmic reticulum | protein enzyme 
13072 | vacuole | aqueous solution | smooth endoplasmic reticulum | protein enzyme 
13096 | amyloplast | aqueous solution | exoskeleton | chitin 
13108 | membrane | phospholipid bilayer | phospholipid bilayer | phospholipid 
13108 | membrane | phospholipid bilayer | phospholipid bilayer | phospholipid 
13108 | membrane | phospholipid bilayer | phospholipid bilayer | lipid 
13108 | membrane | phospholipid bilayer | phospholipid bilayer | lipid 
13108 | membrane | phospholipid bilayer | phospholipid bilayer | lipid 
13108 | membrane | phospholipid bilayer | phospholipid bilayer | lipid 
13108 | membrane | phospholipid bilayer | phospholipid bilayer | phospholipid 
13109 | membrane | glycoprotein | phospholipid bilayer | phospholipid 
13109 | membrane | glycoprotein | phospholipid bilayer | phospholipid 
13109 | membrane | glycoprotein | phospholipid bilayer | lipid 
13109 | membrane | glycoprotein | phospholipid bilayer | lipid 
13109 | membrane | glycoprotein | phospholipid bilayer | lipid 
13109 | membrane | glycoprotein | phospholipid bilayer | lipid 
13109 | membrane | glycoprotein | phospholipid bilayer | phospholipid 
13110 | membrane | glycolipid | phospholipid bilayer | phospholipid 
13110 | membrane | glycolipid | phospholipid bilayer | phospholipid 
13110 | membrane | glycolipid | phospholipid bilayer | lipid 
13110 | membrane | glycolipid | phospholipid bilayer | lipid 
13110 | membrane | glycolipid | phospholipid bilayer | lipid 
13110 | membrane | glycolipid | phospholipid bilayer | lipid 
13110 | membrane | glycolipid | phospholipid bilayer | phospholipid 
13111 | membrane | saturated fatty acid | phospholipid bilayer | phospholipid 
13111 | membrane | saturated fatty acid | phospholipid bilayer | phospholipid 
13111 | membrane | saturated fatty acid | phospholipid bilayer | lipid 
13111 | membrane | saturated fatty acid | phospholipid bilayer | lipid 
13111 | membrane | saturated fatty acid | phospholipid bilayer | lipid 
13111 | membrane | saturated fatty acid | phospholipid bilayer | lipid 
13111 | membrane | saturated fatty acid | phospholipid bilayer | phospholipid 
13116 | glyoxysome | aqueous solution | saturated fat | saturated fatty acid 
13117 | glyoxysome | protein enzyme | saturated fat | saturated fatty acid 
13126 | polysaccharide | monomer | ionic compound | anion 
13126 | polysaccharide | monomer | ionic compound | cation 
13127 | polysaccharide | monosaccharide | ionic compound | anion 
13127 | polysaccharide | monosaccharide | ionic compound | cation 
13128 | polysaccharide | monomer | ionic compound | anion 
13128 | polysaccharide | monomer | ionic compound | cation 
13129 | polysaccharide | monosaccharide | ionic compound | anion 
13129 | polysaccharide | monosaccharide | ionic compound | cation 
13130 | polysaccharide | oxygen atom | ionic compound | anion 
13130 | polysaccharide | oxygen atom | ionic compound | cation 
13131 | polysaccharide | hydrogen atom | ionic compound | anion 
13131 | polysaccharide | hydrogen atom | ionic compound | cation 
13132 | polysaccharide | oxygen atom | ionic compound | anion 
13132 | polysaccharide | oxygen atom | ionic compound | cation 
13146 | lactate | oxygen atom | proline | hydrogen atom 
13146 | lactate | oxygen atom | proline | nitrogen atom 
13147 | lactate | hydrogen atom | proline | hydrogen atom 
13147 | lactate | hydrogen atom | proline | nitrogen atom 
13148 | plastocyanin | monomer | mesophyll | mesophyll cell 
13148 | plastocyanin | monomer | mesophyll | mesophyll cell 
13148 | plastocyanin | monomer | mesophyll | mesophyll cell 
13158 | pyruvate | oxygen atom | aqueous solution | water 
13159 | pyruvate | hydrogen atom | aqueous solution | water 
13160 | pyruvate | oxygen atom | aqueous solution | water 
13166 | carbon atom | proton | water | water molecule 
13166 | carbon atom | proton | water | water molecule 
13167 | carbon atom | neutron | water | water molecule 
13167 | carbon atom | neutron | water | water molecule 
13168 | carbon atom | electron | water | water molecule 
13168 | carbon atom | electron | water | water molecule 
13180 | erythrocyte | nucleus | water molecule | oxygen atom 
13180 | erythrocyte | nucleus | water molecule | hydrogen atom 
13180 | erythrocyte | nucleus | water molecule | hydrogen atom 
13181 | erythrocyte | smooth endoplasmic reticulum | water molecule | oxygen atom 
13181 | erythrocyte | smooth endoplasmic reticulum | water molecule | hydrogen atom 
13181 | erythrocyte | smooth endoplasmic reticulum | water molecule | hydrogen atom 
13182 | erythrocyte | cytoplasm | water molecule | oxygen atom 
13182 | erythrocyte | cytoplasm | water molecule | hydrogen atom 
13182 | erythrocyte | cytoplasm | water molecule | hydrogen atom 
13183 | erythrocyte | rough endoplasmic reticulum | water molecule | oxygen atom 
13183 | erythrocyte | rough endoplasmic reticulum | water molecule | hydrogen atom 
13183 | erythrocyte | rough endoplasmic reticulum | water molecule | hydrogen atom 
13184 | erythrocyte | centrosome | water molecule | oxygen atom 
13184 | erythrocyte | centrosome | water molecule | hydrogen atom 
13184 | erythrocyte | centrosome | water molecule | hydrogen atom 
13185 | erythrocyte | Golgi apparatus | water molecule | oxygen atom 
13185 | erythrocyte | Golgi apparatus | water molecule | hydrogen atom 
13185 | erythrocyte | Golgi apparatus | water molecule | hydrogen atom 
13186 | erythrocyte | hemoglobin | water molecule | oxygen atom 
13186 | erythrocyte | hemoglobin | water molecule | hydrogen atom 
13186 | erythrocyte | hemoglobin | water molecule | hydrogen atom 
13187 | erythrocyte | mitochondrion | water molecule | oxygen atom 
13187 | erythrocyte | mitochondrion | water molecule | hydrogen atom 
13187 | erythrocyte | mitochondrion | water molecule | hydrogen atom 
13188 | erythrocyte | peroxisome | water molecule | oxygen atom 
13188 | erythrocyte | peroxisome | water molecule | hydrogen atom 
13188 | erythrocyte | peroxisome | water molecule | hydrogen atom 
13189 | phospholipid | fatty acid | light | photon 
13190 | phospholipid | glycerol | light | photon 
13191 | phospholipid | fatty acid | light | photon 
13192 | phospholipid | phosphorus atom | light | photon 
13193 | phospholipid | oxygen atom | light | photon 
13204 | P700 | hydrogen atom | thylakoid membrane | plastoquinone 
13204 | P700 | hydrogen atom | thylakoid membrane | phospholipid bilayer 
13204 | P700 | hydrogen atom | thylakoid membrane | ATP synthase 
13204 | P700 | hydrogen atom | thylakoid membrane | thylakoid electron transport chain 
13205 | P700 | magnesium atom | thylakoid membrane | plastoquinone 
13205 | P700 | magnesium atom | thylakoid membrane | phospholipid bilayer 
13205 | P700 | magnesium atom | thylakoid membrane | ATP synthase 
13205 | P700 | magnesium atom | thylakoid membrane | thylakoid electron transport chain 
13234 | carbon-12 atom | proton | oxygen molecule | oxygen atom 
13234 | carbon-12 atom | proton | oxygen molecule | oxygen atom 
13255 | nitrogen atom | proton | nucleoside | nitrogenous base 
13255 | nitrogen atom | proton | nucleoside | pentose 
13256 | nitrogen atom | valence electron | nucleoside | nitrogenous base 
13256 | nitrogen atom | valence electron | nucleoside | pentose 
13257 | nitrogen atom | neutron | nucleoside | nitrogenous base 
13257 | nitrogen atom | neutron | nucleoside | pentose 
13258 | nitrogen atom | valence electron | nucleoside | nitrogenous base 
13258 | nitrogen atom | valence electron | nucleoside | pentose 
13267 | prokaryote | ribosome | ice | water molecule 
13267 | prokaryote | ribosome | ice | water molecule 
13268 | prokaryote | cytoplasm | ice | water molecule 
13268 | prokaryote | cytoplasm | ice | water molecule 
13269 | prokaryote | cell wall | ice | water molecule 
13269 | prokaryote | cell wall | ice | water molecule 
13270 | prokaryote | protein enzyme | ice | water molecule 
13270 | prokaryote | protein enzyme | ice | water molecule 
13272 | cell | cytoplasm | hydrophobic substance | hydrophobic compound 
13273 | cell | ribosome | hydrophobic substance | hydrophobic compound 
13274 | cell | motor protein | hydrophobic substance | hydrophobic compound 
13275 | cell | genome | hydrophobic substance | hydrophobic compound 
13276 | cell | chromosome | hydrophobic substance | hydrophobic compound 
13277 | cell | cytoskeleton | hydrophobic substance | hydrophobic compound 
13281 | NADH | atom | neutral solution | hydroxide ion 
13281 | NADH | atom | neutral solution | hydrogen ion 
13298 | hexose | oxygen atom | animal | animal cell 
13298 | hexose | oxygen atom | animal | water 
13299 | hexose | hydrogen atom | animal | animal cell 
13299 | hexose | hydrogen atom | animal | water 
13300 | hexose | oxygen atom | animal | animal cell 
13300 | hexose | oxygen atom | animal | water 
13306 | asparagine | hydrogen atom | protein | polypeptide 
13307 | asparagine | oxygen atom | protein | polypeptide 
13308 | asparagine | oxygen atom | protein | polypeptide 
13309 | asparagine | hydrogen atom | protein | polypeptide 
13310 | asparagine | nitrogen atom | protein | polypeptide 
13312 | calcium | electron | protein | polypeptide 
13313 | calcium | proton | protein | polypeptide 
13314 | calcium | neutron | protein | polypeptide 
13333 | hydrophilic substance | hydrophilic compound | thylakoid | thylakoid membrane 
