0 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
4331 | lysosome | Autophagy | ATP synthase | Facilitated diffusion 
4331 | lysosome | Autophagy | ATP synthase | Synthesis of ATP 
4337 | lysosomal enzyme | Hydrolysis | radioactive isotope | Radioactivity 
4339 | C3 plant | Starch storage by plant | C4 plant | C4-photosynthesis 
4339 | C3 plant | Starch storage by plant | C4 plant | Starch storage by plant 
4352 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
4352 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
4355 | lysosomal enzyme | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
4357 | cotransporter | Cotransport | lysosome | Intracellular digestion 
4357 | cotransporter | Cotransport | lysosome | Autophagy 
4358 | cotransporter | Exergonic process | lysosome | Intracellular digestion 
4358 | cotransporter | Exergonic process | lysosome | Autophagy 
4360 | chloroplast | Photosynthesis | lysosome | Intracellular digestion 
4360 | chloroplast | Photosynthesis | lysosome | Autophagy 
4363 | smooth endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
4370 | carbon 14 atom | Radioactivity | ribonuclease | Hydrolysis 
4371 | cellulose | Adhesion | CAM plant | Starch storage by plant 
4371 | cellulose | Adhesion | CAM plant | Crassulacean acid metabolism 
4378 | cytoplasmic protein kinase | Phosphorylation | pepsin | Hydrolysis 
4381 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
4381 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
4390 | macrophage | Phagocytosis | C4 plant | C4-photosynthesis 
4390 | macrophage | Phagocytosis | C4 plant | Starch storage by plant 
4393 | radioactive isotope | Radioactivity | C4 plant | C4-photosynthesis 
4393 | radioactive isotope | Radioactivity | C4 plant | Starch storage by plant 
4394 | plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
4394 | plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
4395 | plant | Photosynthesis | ATP synthase | Facilitated diffusion 
4395 | plant | Photosynthesis | ATP synthase | Synthesis of ATP 
4397 | CAM plant | Starch storage by plant | plant | Starch storage by plant 
4397 | CAM plant | Starch storage by plant | plant | Photosynthesis 
4398 | CAM plant | Crassulacean acid metabolism | plant | Starch storage by plant 
4398 | CAM plant | Crassulacean acid metabolism | plant | Photosynthesis 
4399 | thylakoid | Light reaction | radioactive isotope | Radioactivity 
4400 | cellulose | Adhesion | plant | Starch storage by plant 
4400 | cellulose | Adhesion | plant | Photosynthesis 
4401 | thylakoid | Light reaction | lysosome | Intracellular digestion 
4401 | thylakoid | Light reaction | lysosome | Autophagy 
4411 | cytoplasmic protein kinase | Phosphorylation | radioactive isotope | Radioactivity 
4414 | phosphofructokinase | Phosphorylation | thylakoid | Light reaction 
4415 | carbon 14 atom | Radioactivity | ribonuclease | Hydrolysis 
4423 | plant | Starch storage by plant | thylakoid | Light reaction 
4424 | plant | Photosynthesis | thylakoid | Light reaction 
4429 | rough endoplasmic reticulum | Metabolism | plant | Starch storage by plant 
4429 | rough endoplasmic reticulum | Metabolism | plant | Photosynthesis 
4431 | carbon 14 atom | Radioactivity | ribonuclease | Hydrolysis 
4432 | CAM plant | Starch storage by plant | radioactive isotope | Radioactivity 
4433 | CAM plant | Crassulacean acid metabolism | radioactive isotope | Radioactivity 
4434 | ribonuclease | Hydrolysis | radioactive isotope | Radioactivity 
4435 | mitochondrion | Eukaryotic oxidative phosphorylation | pepsin | Hydrolysis 
4436 | mitochondrion | Eukaryotic pyruvate oxidation | pepsin | Hydrolysis 
4446 | cellulose | Adhesion | cytoplasmic protein kinase | Phosphorylation 
4452 | cytoplasmic protein kinase | Phosphorylation | CAM plant | Starch storage by plant 
4452 | cytoplasmic protein kinase | Phosphorylation | CAM plant | Crassulacean acid metabolism 
4453 | PEP carboxylase | Carbon fixation | pepsin | Hydrolysis 
4454 | ATP synthase | Facilitated diffusion | thylakoid | Light reaction 
4455 | ATP synthase | Synthesis of ATP | thylakoid | Light reaction 
4461 | CAM plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
4462 | CAM plant | Crassulacean acid metabolism | cytoplasmic protein kinase | Phosphorylation 
4464 | transport membrane protein | Facilitated diffusion | ATP synthase | Facilitated diffusion 
4464 | transport membrane protein | Facilitated diffusion | ATP synthase | Synthesis of ATP 
4466 | chloroplast | Photosynthesis | thylakoid | Light reaction 
4467 | radioactive isotope | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
4468 | lysosomal enzyme | Hydrolysis | radioactive isotope | Radioactivity 
4469 | cellulose | Adhesion | plant | Starch storage by plant 
4469 | cellulose | Adhesion | plant | Photosynthesis 
4471 | macrophage | Phagocytosis | CAM plant | Starch storage by plant 
4471 | macrophage | Phagocytosis | CAM plant | Crassulacean acid metabolism 
4474 | PEP carboxylase | Carbon fixation | ribonuclease | Hydrolysis 
4478 | plant | Starch storage by plant | ribonuclease | Hydrolysis 
4479 | plant | Photosynthesis | ribonuclease | Hydrolysis 
4481 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Facilitated diffusion 
4481 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Synthesis of ATP 
4482 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Facilitated diffusion 
4482 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Synthesis of ATP 
4485 | pepsin | Hydrolysis | ATP synthase | Facilitated diffusion 
4485 | pepsin | Hydrolysis | ATP synthase | Synthesis of ATP 
4486 | ATP synthase | Facilitated diffusion | C4 plant | C4-photosynthesis 
4486 | ATP synthase | Facilitated diffusion | C4 plant | Starch storage by plant 
4487 | ATP synthase | Synthesis of ATP | C4 plant | C4-photosynthesis 
4487 | ATP synthase | Synthesis of ATP | C4 plant | Starch storage by plant 
4496 | cotransporter | Cotransport | CAM plant | Starch storage by plant 
4496 | cotransporter | Cotransport | CAM plant | Crassulacean acid metabolism 
4497 | cotransporter | Exergonic process | CAM plant | Starch storage by plant 
4497 | cotransporter | Exergonic process | CAM plant | Crassulacean acid metabolism 
4501 | ATP synthase | Facilitated diffusion | CAM plant | Starch storage by plant 
4501 | ATP synthase | Facilitated diffusion | CAM plant | Crassulacean acid metabolism 
4502 | ATP synthase | Synthesis of ATP | CAM plant | Starch storage by plant 
4502 | ATP synthase | Synthesis of ATP | CAM plant | Crassulacean acid metabolism 
4508 | transport membrane protein | Facilitated diffusion | C4 plant | C4-photosynthesis 
4508 | transport membrane protein | Facilitated diffusion | C4 plant | Starch storage by plant 
4509 | lysosomal enzyme | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
4510 | transport membrane protein | Facilitated diffusion | ribonuclease | Hydrolysis 
4511 | dynein | Dynein walking | radioactive isotope | Radioactivity 
4513 | radioactive isotope | Radioactivity | carbon 14 atom | Radioactivity 
4515 | ribonuclease | Hydrolysis | carbon 14 atom | Radioactivity 
4516 | macrophage | Phagocytosis | C4 plant | C4-photosynthesis 
4516 | macrophage | Phagocytosis | C4 plant | Starch storage by plant 
4517 | rough endoplasmic reticulum | Metabolism | plant | Starch storage by plant 
4517 | rough endoplasmic reticulum | Metabolism | plant | Photosynthesis 
4518 | mitochondrion | Eukaryotic oxidative phosphorylation | cytoplasmic protein kinase | Phosphorylation 
4519 | mitochondrion | Eukaryotic pyruvate oxidation | cytoplasmic protein kinase | Phosphorylation 
4524 | plant | Starch storage by plant | ribonuclease | Hydrolysis 
4525 | plant | Photosynthesis | ribonuclease | Hydrolysis 
4526 | pepsin | Hydrolysis | thylakoid | Light reaction 
4527 | CAM plant | Starch storage by plant | ribonuclease | Hydrolysis 
4528 | CAM plant | Crassulacean acid metabolism | ribonuclease | Hydrolysis 
4532 | cytoplasmic protein kinase | Phosphorylation | C4 plant | C4-photosynthesis 
4532 | cytoplasmic protein kinase | Phosphorylation | C4 plant | Starch storage by plant 
4535 | PEP carboxylase | Carbon fixation | cytoplasmic protein kinase | Phosphorylation 
4539 | phosphofructokinase | Phosphorylation | pepsin | Hydrolysis 
4540 | thylakoid | Light reaction | radioactive isotope | Radioactivity 
4543 | lysosomal enzyme | Hydrolysis | plant | Starch storage by plant 
4543 | lysosomal enzyme | Hydrolysis | plant | Photosynthesis 
4551 | chloroplast | Photosynthesis | plant | Starch storage by plant 
4551 | chloroplast | Photosynthesis | plant | Photosynthesis 
4554 | lysosomal enzyme | Hydrolysis | carbon 14 atom | Radioactivity 
4580 | cotransporter | Cotransport | CAM plant | Starch storage by plant 
4580 | cotransporter | Cotransport | CAM plant | Crassulacean acid metabolism 
4581 | cotransporter | Exergonic process | CAM plant | Starch storage by plant 
4581 | cotransporter | Exergonic process | CAM plant | Crassulacean acid metabolism 
4590 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
4590 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
4609 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
4610 | dynein | Dynein walking | ATP synthase | Facilitated diffusion 
4610 | dynein | Dynein walking | ATP synthase | Synthesis of ATP 
4613 | C3 plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
4620 | carbon 14 atom | Radioactivity | pepsin | Hydrolysis 
4622 | lysosome | Intracellular digestion | CAM plant | Starch storage by plant 
4622 | lysosome | Intracellular digestion | CAM plant | Crassulacean acid metabolism 
4623 | lysosome | Autophagy | CAM plant | Starch storage by plant 
4623 | lysosome | Autophagy | CAM plant | Crassulacean acid metabolism 
4625 | phosphofructokinase | Phosphorylation | plant | Starch storage by plant 
4625 | phosphofructokinase | Phosphorylation | plant | Photosynthesis 
4628 | rough endoplasmic reticulum | Metabolism | carbon 14 atom | Radioactivity 
4630 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
4631 | cotransporter | Cotransport | radioactive isotope | Radioactivity 
4632 | cotransporter | Exergonic process | radioactive isotope | Radioactivity 
4649 | plant | Starch storage by plant | carbon 14 atom | Radioactivity 
4650 | plant | Photosynthesis | carbon 14 atom | Radioactivity 
4651 | dynein | Dynein walking | ATP synthase | Facilitated diffusion 
4651 | dynein | Dynein walking | ATP synthase | Synthesis of ATP 
4652 | phosphofructokinase | Phosphorylation | ribonuclease | Hydrolysis 
4653 | plant | Starch storage by plant | pepsin | Hydrolysis 
4654 | plant | Photosynthesis | pepsin | Hydrolysis 
4663 | dynein | Dynein walking | cytoplasmic protein kinase | Phosphorylation 
4667 | transport membrane protein | Facilitated diffusion | carbon 14 atom | Radioactivity 
4668 | lysosomal enzyme | Hydrolysis | radioactive isotope | Radioactivity 
4669 | ribonuclease | Hydrolysis | ATP synthase | Facilitated diffusion 
4669 | ribonuclease | Hydrolysis | ATP synthase | Synthesis of ATP 
4670 | lysosomal enzyme | Hydrolysis | plant | Starch storage by plant 
4670 | lysosomal enzyme | Hydrolysis | plant | Photosynthesis 
4671 | CAM plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
4672 | CAM plant | Crassulacean acid metabolism | cytoplasmic protein kinase | Phosphorylation 
4681 | smooth endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
4683 | CAM plant | Starch storage by plant | CAM plant | Starch storage by plant 
4683 | CAM plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
4684 | CAM plant | Crassulacean acid metabolism | CAM plant | Starch storage by plant 
4684 | CAM plant | Crassulacean acid metabolism | CAM plant | Crassulacean acid metabolism 
4687 | lysosome | Intracellular digestion | C4 plant | C4-photosynthesis 
4687 | lysosome | Intracellular digestion | C4 plant | Starch storage by plant 
4688 | lysosome | Autophagy | C4 plant | C4-photosynthesis 
4688 | lysosome | Autophagy | C4 plant | Starch storage by plant 
4691 | plant | Starch storage by plant | lysosome | Intracellular digestion 
4691 | plant | Starch storage by plant | lysosome | Autophagy 
4692 | plant | Photosynthesis | lysosome | Intracellular digestion 
4692 | plant | Photosynthesis | lysosome | Autophagy 
4694 | phosphofructokinase | Phosphorylation | carbon 14 atom | Radioactivity 
4697 | cytoplasmic protein kinase | Phosphorylation | lysosome | Intracellular digestion 
4697 | cytoplasmic protein kinase | Phosphorylation | lysosome | Autophagy 
4704 | smooth endoplasmic reticulum | Metabolism | plant | Starch storage by plant 
4704 | smooth endoplasmic reticulum | Metabolism | plant | Photosynthesis 
4706 | ribonuclease | Hydrolysis | CAM plant | Starch storage by plant 
4706 | ribonuclease | Hydrolysis | CAM plant | Crassulacean acid metabolism 
4709 | chloroplast | Photosynthesis | C4 plant | C4-photosynthesis 
4709 | chloroplast | Photosynthesis | C4 plant | Starch storage by plant 
4718 | rough endoplasmic reticulum | Metabolism | CAM plant | Starch storage by plant 
4718 | rough endoplasmic reticulum | Metabolism | CAM plant | Crassulacean acid metabolism 
4720 | plant | Starch storage by plant | C4 plant | C4-photosynthesis 
4720 | plant | Starch storage by plant | C4 plant | Starch storage by plant 
4721 | plant | Photosynthesis | C4 plant | C4-photosynthesis 
4721 | plant | Photosynthesis | C4 plant | Starch storage by plant 
4722 | cytoplasmic protein kinase | Phosphorylation | C4 plant | C4-photosynthesis 
4722 | cytoplasmic protein kinase | Phosphorylation | C4 plant | Starch storage by plant 
4728 | PEP carboxylase | Carbon fixation | radioactive isotope | Radioactivity 
4731 | CAM plant | Starch storage by plant | plant | Starch storage by plant 
4731 | CAM plant | Starch storage by plant | plant | Photosynthesis 
4732 | CAM plant | Crassulacean acid metabolism | plant | Starch storage by plant 
4732 | CAM plant | Crassulacean acid metabolism | plant | Photosynthesis 
4733 | plant | Starch storage by plant | lysosome | Intracellular digestion 
4733 | plant | Starch storage by plant | lysosome | Autophagy 
4734 | plant | Photosynthesis | lysosome | Intracellular digestion 
4734 | plant | Photosynthesis | lysosome | Autophagy 
4736 | pepsin | Hydrolysis | carbon 14 atom | Radioactivity 
4738 | smooth endoplasmic reticulum | Metabolism | radioactive isotope | Radioactivity 
4739 | C4 plant | C4-photosynthesis | CAM plant | Starch storage by plant 
4739 | C4 plant | C4-photosynthesis | CAM plant | Crassulacean acid metabolism 
4740 | C4 plant | Starch storage by plant | CAM plant | Starch storage by plant 
4740 | C4 plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
4742 | PEP carboxylase | Carbon fixation | ATP synthase | Facilitated diffusion 
4742 | PEP carboxylase | Carbon fixation | ATP synthase | Synthesis of ATP 
4746 | dynein | Dynein walking | radioactive isotope | Radioactivity 
4748 | chloroplast | Photosynthesis | lysosome | Intracellular digestion 
4748 | chloroplast | Photosynthesis | lysosome | Autophagy 
4753 | CAM plant | Starch storage by plant | C4 plant | C4-photosynthesis 
4753 | CAM plant | Starch storage by plant | C4 plant | Starch storage by plant 
4754 | CAM plant | Crassulacean acid metabolism | C4 plant | C4-photosynthesis 
4754 | CAM plant | Crassulacean acid metabolism | C4 plant | Starch storage by plant 
4759 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
4759 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
4760 | thylakoid | Light reaction | thylakoid | Light reaction 
4765 | transport membrane protein | Facilitated diffusion | plant | Starch storage by plant 
4765 | transport membrane protein | Facilitated diffusion | plant | Photosynthesis 
4766 | lysosomal enzyme | Hydrolysis | plant | Starch storage by plant 
4766 | lysosomal enzyme | Hydrolysis | plant | Photosynthesis 
4767 | cytoplasmic protein kinase | Phosphorylation | ATP synthase | Facilitated diffusion 
4767 | cytoplasmic protein kinase | Phosphorylation | ATP synthase | Synthesis of ATP 
4770 | PEP carboxylase | Carbon fixation | lysosome | Intracellular digestion 
4770 | PEP carboxylase | Carbon fixation | lysosome | Autophagy 
4771 | carbon 14 atom | Radioactivity | C4 plant | C4-photosynthesis 
4771 | carbon 14 atom | Radioactivity | C4 plant | Starch storage by plant 
4780 | ribonuclease | Hydrolysis | C4 plant | C4-photosynthesis 
4780 | ribonuclease | Hydrolysis | C4 plant | Starch storage by plant 
4783 | pepsin | Hydrolysis | plant | Starch storage by plant 
4783 | pepsin | Hydrolysis | plant | Photosynthesis 
4784 | rough endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
4791 | dynein | Dynein walking | cytoplasmic protein kinase | Phosphorylation 
4794 | thylakoid | Light reaction | C4 plant | C4-photosynthesis 
4794 | thylakoid | Light reaction | C4 plant | Starch storage by plant 
4799 | cellulose | Adhesion | pepsin | Hydrolysis 
4800 | radioactive isotope | Radioactivity | ATP synthase | Facilitated diffusion 
4800 | radioactive isotope | Radioactivity | ATP synthase | Synthesis of ATP 
4811 | plant | Starch storage by plant | pepsin | Hydrolysis 
4812 | plant | Photosynthesis | pepsin | Hydrolysis 
4813 | transport membrane protein | Facilitated diffusion | radioactive isotope | Radioactivity 
4814 | rough endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
4814 | rough endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
4815 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
4821 | lysosomal enzyme | Hydrolysis | ATP synthase | Facilitated diffusion 
4821 | lysosomal enzyme | Hydrolysis | ATP synthase | Synthesis of ATP 
4822 | thylakoid | Light reaction | radioactive isotope | Radioactivity 
4823 | lysosomal enzyme | Hydrolysis | carbon 14 atom | Radioactivity 
4824 | C3 plant | Starch storage by plant | carbon 14 atom | Radioactivity 
4827 | PEP carboxylase | Carbon fixation | ribonuclease | Hydrolysis 
4828 | smooth endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
4829 | lysosome | Intracellular digestion | plant | Starch storage by plant 
4829 | lysosome | Intracellular digestion | plant | Photosynthesis 
4830 | lysosome | Autophagy | plant | Starch storage by plant 
4830 | lysosome | Autophagy | plant | Photosynthesis 
4831 | macrophage | Phagocytosis | thylakoid | Light reaction 
4832 | ATP synthase | Facilitated diffusion | carbon 14 atom | Radioactivity 
4833 | ATP synthase | Synthesis of ATP | carbon 14 atom | Radioactivity 
4835 | plant | Starch storage by plant | C4 plant | C4-photosynthesis 
4835 | plant | Starch storage by plant | C4 plant | Starch storage by plant 
4836 | plant | Photosynthesis | C4 plant | C4-photosynthesis 
4836 | plant | Photosynthesis | C4 plant | Starch storage by plant 
4837 | chloroplast | Photosynthesis | plant | Starch storage by plant 
4837 | chloroplast | Photosynthesis | plant | Photosynthesis 
4840 | macrophage | Phagocytosis | ribonuclease | Hydrolysis 
4842 | ribonuclease | Hydrolysis | CAM plant | Starch storage by plant 
4842 | ribonuclease | Hydrolysis | CAM plant | Crassulacean acid metabolism 
4856 | radioactive isotope | Radioactivity | radioactive isotope | Radioactivity 
4859 | carbon 14 atom | Radioactivity | radioactive isotope | Radioactivity 
4867 | phosphofructokinase | Phosphorylation | CAM plant | Starch storage by plant 
4867 | phosphofructokinase | Phosphorylation | CAM plant | Crassulacean acid metabolism 
4869 | chloroplast | Photosynthesis | radioactive isotope | Radioactivity 
4876 | radioactive isotope | Radioactivity | carbon 14 atom | Radioactivity 
4888 | macrophage | Phagocytosis | carbon 14 atom | Radioactivity 
4890 | radioactive isotope | Radioactivity | thylakoid | Light reaction 
4911 | smooth endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
4912 | lysosome | Intracellular digestion | cytoplasmic protein kinase | Phosphorylation 
4913 | lysosome | Autophagy | cytoplasmic protein kinase | Phosphorylation 
4917 | plant | Starch storage by plant | ribonuclease | Hydrolysis 
4918 | plant | Photosynthesis | ribonuclease | Hydrolysis 
4919 | lysosome | Intracellular digestion | radioactive isotope | Radioactivity 
4920 | lysosome | Autophagy | radioactive isotope | Radioactivity 
4927 | plant | Starch storage by plant | thylakoid | Light reaction 
4928 | plant | Photosynthesis | thylakoid | Light reaction 
4931 | cotransporter | Cotransport | radioactive isotope | Radioactivity 
4932 | cotransporter | Exergonic process | radioactive isotope | Radioactivity 
4956 | lysosomal enzyme | Hydrolysis | thylakoid | Light reaction 
4964 | macrophage | Phagocytosis | radioactive isotope | Radioactivity 
4966 | chloroplast | Photosynthesis | CAM plant | Starch storage by plant 
4966 | chloroplast | Photosynthesis | CAM plant | Crassulacean acid metabolism 
4977 | phosphofructokinase | Phosphorylation | lysosome | Intracellular digestion 
4977 | phosphofructokinase | Phosphorylation | lysosome | Autophagy 
4978 | PEP carboxylase | Carbon fixation | ATP synthase | Facilitated diffusion 
4978 | PEP carboxylase | Carbon fixation | ATP synthase | Synthesis of ATP 
4981 | lysosomal enzyme | Hydrolysis | pepsin | Hydrolysis 
4984 | lysosome | Intracellular digestion | ribonuclease | Hydrolysis 
4985 | lysosome | Autophagy | ribonuclease | Hydrolysis 
4987 | macrophage | Phagocytosis | lysosome | Intracellular digestion 
4987 | macrophage | Phagocytosis | lysosome | Autophagy 
4988 | lysosomal enzyme | Hydrolysis | plant | Starch storage by plant 
4988 | lysosomal enzyme | Hydrolysis | plant | Photosynthesis 
4993 | smooth endoplasmic reticulum | Metabolism | radioactive isotope | Radioactivity 
5001 | cotransporter | Cotransport | carbon 14 atom | Radioactivity 
5002 | cotransporter | Exergonic process | carbon 14 atom | Radioactivity 
5003 | lysosome | Intracellular digestion | lysosome | Intracellular digestion 
5003 | lysosome | Intracellular digestion | lysosome | Autophagy 
5004 | lysosome | Autophagy | lysosome | Intracellular digestion 
5004 | lysosome | Autophagy | lysosome | Autophagy 
5007 | transport membrane protein | Facilitated diffusion | thylakoid | Light reaction 
5011 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
5011 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
5018 | plant | Starch storage by plant | ribonuclease | Hydrolysis 
5019 | plant | Photosynthesis | ribonuclease | Hydrolysis 
5028 | cellulose | Adhesion | C4 plant | C4-photosynthesis 
5028 | cellulose | Adhesion | C4 plant | Starch storage by plant 
5034 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Starch storage by plant 
5034 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Photosynthesis 
5035 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Starch storage by plant 
5035 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Photosynthesis 
5037 | carbon 14 atom | Radioactivity | C4 plant | C4-photosynthesis 
5037 | carbon 14 atom | Radioactivity | C4 plant | Starch storage by plant 
5040 | lysosomal enzyme | Hydrolysis | radioactive isotope | Radioactivity 
5044 | cotransporter | Cotransport | ATP synthase | Facilitated diffusion 
5044 | cotransporter | Cotransport | ATP synthase | Synthesis of ATP 
5045 | cotransporter | Exergonic process | ATP synthase | Facilitated diffusion 
5045 | cotransporter | Exergonic process | ATP synthase | Synthesis of ATP 
5047 | ATP synthase | Facilitated diffusion | C4 plant | C4-photosynthesis 
5047 | ATP synthase | Facilitated diffusion | C4 plant | Starch storage by plant 
5048 | ATP synthase | Synthesis of ATP | C4 plant | C4-photosynthesis 
5048 | ATP synthase | Synthesis of ATP | C4 plant | Starch storage by plant 
5052 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
5052 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
5061 | macrophage | Phagocytosis | pepsin | Hydrolysis 
5062 | ATP synthase | Facilitated diffusion | lysosome | Intracellular digestion 
5062 | ATP synthase | Facilitated diffusion | lysosome | Autophagy 
5063 | ATP synthase | Synthesis of ATP | lysosome | Intracellular digestion 
5063 | ATP synthase | Synthesis of ATP | lysosome | Autophagy 
5079 | lysosomal enzyme | Hydrolysis | ATP synthase | Facilitated diffusion 
5079 | lysosomal enzyme | Hydrolysis | ATP synthase | Synthesis of ATP 
5081 | mitochondrion | Eukaryotic oxidative phosphorylation | CAM plant | Starch storage by plant 
5081 | mitochondrion | Eukaryotic oxidative phosphorylation | CAM plant | Crassulacean acid metabolism 
5082 | mitochondrion | Eukaryotic pyruvate oxidation | CAM plant | Starch storage by plant 
5082 | mitochondrion | Eukaryotic pyruvate oxidation | CAM plant | Crassulacean acid metabolism 
5083 | pepsin | Hydrolysis | carbon 14 atom | Radioactivity 
5085 | macrophage | Phagocytosis | pepsin | Hydrolysis 
5086 | cellulose | Adhesion | carbon 14 atom | Radioactivity 
5088 | cotransporter | Cotransport | carbon 14 atom | Radioactivity 
5089 | cotransporter | Exergonic process | carbon 14 atom | Radioactivity 
5090 | smooth endoplasmic reticulum | Metabolism | carbon 14 atom | Radioactivity 
5093 | pepsin | Hydrolysis | lysosome | Intracellular digestion 
5093 | pepsin | Hydrolysis | lysosome | Autophagy 
5094 | cellulose | Adhesion | ATP synthase | Facilitated diffusion 
5094 | cellulose | Adhesion | ATP synthase | Synthesis of ATP 
5095 | lysosome | Intracellular digestion | lysosome | Intracellular digestion 
5095 | lysosome | Intracellular digestion | lysosome | Autophagy 
5096 | lysosome | Autophagy | lysosome | Intracellular digestion 
5096 | lysosome | Autophagy | lysosome | Autophagy 
5101 | C4 plant | C4-photosynthesis | radioactive isotope | Radioactivity 
5102 | C4 plant | Starch storage by plant | radioactive isotope | Radioactivity 
5105 | carbon 14 atom | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
5111 | carbon 14 atom | Radioactivity | C4 plant | C4-photosynthesis 
5111 | carbon 14 atom | Radioactivity | C4 plant | Starch storage by plant 
5112 | mitochondrion | Eukaryotic oxidative phosphorylation | thylakoid | Light reaction 
5113 | mitochondrion | Eukaryotic pyruvate oxidation | thylakoid | Light reaction 
5114 | chloroplast | Photosynthesis | plant | Starch storage by plant 
5114 | chloroplast | Photosynthesis | plant | Photosynthesis 
5116 | chloroplast | Photosynthesis | ATP synthase | Facilitated diffusion 
5116 | chloroplast | Photosynthesis | ATP synthase | Synthesis of ATP 
5117 | thylakoid | Light reaction | CAM plant | Starch storage by plant 
5117 | thylakoid | Light reaction | CAM plant | Crassulacean acid metabolism 
5119 | C3 plant | Starch storage by plant | plant | Starch storage by plant 
5119 | C3 plant | Starch storage by plant | plant | Photosynthesis 
5120 | plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
5120 | plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
5121 | plant | Photosynthesis | ATP synthase | Facilitated diffusion 
5121 | plant | Photosynthesis | ATP synthase | Synthesis of ATP 
5127 | transport membrane protein | Facilitated diffusion | plant | Starch storage by plant 
5127 | transport membrane protein | Facilitated diffusion | plant | Photosynthesis 
5131 | rough endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
5137 | carbon 14 atom | Radioactivity | CAM plant | Starch storage by plant 
5137 | carbon 14 atom | Radioactivity | CAM plant | Crassulacean acid metabolism 
5141 | mitochondrion | Eukaryotic oxidative phosphorylation | C4 plant | C4-photosynthesis 
5141 | mitochondrion | Eukaryotic oxidative phosphorylation | C4 plant | Starch storage by plant 
5142 | mitochondrion | Eukaryotic pyruvate oxidation | C4 plant | C4-photosynthesis 
5142 | mitochondrion | Eukaryotic pyruvate oxidation | C4 plant | Starch storage by plant 
5146 | cytoplasmic protein kinase | Phosphorylation | thylakoid | Light reaction 
5147 | dynein | Dynein walking | carbon 14 atom | Radioactivity 
5148 | mitochondrion | Eukaryotic oxidative phosphorylation | lysosome | Intracellular digestion 
5148 | mitochondrion | Eukaryotic oxidative phosphorylation | lysosome | Autophagy 
5149 | mitochondrion | Eukaryotic pyruvate oxidation | lysosome | Intracellular digestion 
5149 | mitochondrion | Eukaryotic pyruvate oxidation | lysosome | Autophagy 
5155 | plant | Starch storage by plant | lysosome | Intracellular digestion 
5155 | plant | Starch storage by plant | lysosome | Autophagy 
5156 | plant | Photosynthesis | lysosome | Intracellular digestion 
5156 | plant | Photosynthesis | lysosome | Autophagy 
5158 | radioactive isotope | Radioactivity | lysosome | Intracellular digestion 
5158 | radioactive isotope | Radioactivity | lysosome | Autophagy 
5159 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
